time,ACx,ACy,ACz,encoder1,encoder2
0.1,-22,13,243,67,71
0.2,-20,12,244,67,71
0.3,-18,10,243,67,71
0.4,-11,1,243,67,71
0.5,-23,7,243,67,71
0.6,-18,4,242,67,71
0.7,-19,7,242,67,71
0.8,-18,4,242,67,71
0.9,-19,6,242,67,71
1,-20,6,242,67,71
1.1,282,-261,321,67,71
1.2,-29,-82,260,67,71
1.3,-33,-103,260,70,75
1.4,-126,-45,273,70,75
1.5,0,30,41,71,76
1.6,-151,511,511,72,78
1.7,-14,-21,80,73,79
1.8,31,-4,49,73,79
1.9,-10,-2,-6,74,80
2,-3,-19,-3,74,80
2.1,-3,-12,164,75,82
2.2,-18,2,287,77,84
2.3,-21,26,279,77,84
2.4,-1,22,254,78,86
2.5,-16,5,174,78,86
2.6,-26,-2,328,78,86
2.7,-16,2,206,79,87
2.8,-34,10,223,79,87
2.9,-11,2,249,80,88
3,-26,13,258,80,88
3.1,-10,6,198,80,88
3.2,-12,9,228,81,90
3.3,-27,13,252,81,90
3.4,-19,10,212,81,90
3.5,-18,10,250,82,91
3.6,-153,6,366,82,91
3.7,7,0,254,82,91
3.8,-21,-1,244,82,91
3.9,-15,2,231,83,92
4,-26,9,237,83,92
4.1,-18,-1,241,83,92
4.2,-8,1,248,83,92
4.3,-22,1,232,83,92
4.4,-15,-3,234,83,92
4.5,-20,3,240,83,92
4.6,-21,-1,242,83,92
4.7,-15,-2,242,83,92
4.8,-18,-2,241,83,92
4.9,-18,0,242,83,92
5,-18,4,241,83,92
5.1,-17,4,241,83,92
5.2,-18,3,242,83,92
5.3,-17,4,242,83,92
5.4,-17,3,242,83,92
5.5,-19,3,243,83,92
5.6,-17,3,242,83,92
5.7,-18,4,242,83,92
5.8,-17,3,242,83,92
5.9,-17,3,241,83,92
6,-17,3,241,83,92
6.1,-19,4,242,83,92
6.2,-17,3,242,83,92
6.3,-19,3,241,83,92
6.4,-18,4,242,83,92
6.5,-18,4,242,83,92
6.6,-18,4,242,83,92
6.7,-18,4,242,83,92
6.8,-18,4,241,83,92
6.9,-18,4,241,83,92
7,-18,4,241,83,92
7.1,-19,3,241,83,92
7.2,-18,3,240,83,92
7.3,-19,3,241,83,92
7.4,-17,3,241,83,92
7.5,-18,4,242,83,92
7.6,-18,4,242,83,92
7.7,-17,3,241,83,92
7.8,-16,3,241,83,92
7.9,-18,4,242,83,92
8,-18,5,243,83,92
8.1,-17,3,242,83,92
8.2,-17,3,241,83,92
8.3,-17,3,241,83,92
8.4,-17,4,241,83,92
8.5,-18,3,242,83,92
8.6,-17,3,242,83,92
8.7,-17,3,241,83,92
8.8,-17,3,241,83,92
8.9,-18,4,242,83,92
9,-17,3,242,83,92
9.1,-18,1,242,83,92
9.2,-20,2,224,83,92
9.3,-24,6,240,83,92
9.4,-16,5,242,83,92
9.5,-19,6,242,83,92
9.6,-19,1,242,83,92
9.7,-18,3,241,83,92
9.8,-19,3,243,83,92
9.9,-18,2,242,83,92
10,-18,2,242,83,92
10.1,-19,3,241,83,92
10.2,-17,4,242,83,92
10.3,-17,5,242,83,92
10.4,-17,4,241,83,92
10.5,-19,4,242,83,92
10.6,-17,4,242,83,92
10.7,-18,5,242,83,92
10.8,-19,5,241,83,92
10.9,-17,1,241,83,92
11,-17,5,242,83,92
11.1,-17,3,242,83,92
11.2,-18,3,241,83,92
11.3,-18,4,241,83,92
11.4,-18,5,242,83,92
11.5,-19,2,241,83,92
11.6,-18,4,241,83,92
11.7,-18,2,241,83,92
11.8,-18,-10,241,83,92
11.9,-22,27,248,83,92
12,-13,3,245,83,92
12.1,-15,34,250,83,92
12.2,-14,27,241,83,92
12.3,-16,32,242,83,92
12.4,-21,15,240,83,92
12.5,-18,6,216,84,94
12.6,-20,-30,262,84,94
12.7,-17,-7,243,84,94
12.8,-18,-31,245,84,94
12.9,-32,-76,232,84,94
13,-17,-35,238,84,94
13.1,-23,13,262,84,94
13.2,-15,18,242,85,95
13.3,-22,20,263,85,95
13.4,-15,33,227,85,95
13.5,-16,34,253,85,95
13.6,-18,26,242,85,95
13.7,-12,2,243,85,95
13.8,-34,-9,256,85,95
13.9,-21,-25,237,85,95
14,-13,-28,218,85,95
14.1,-11,-17,224,85,95
14.2,-88,164,104,85,95
14.3,-20,8,277,85,95
14.4,-18,2,240,85,95
14.5,-17,-1,244,85,95
14.6,-17,-4,233,85,95
14.7,-20,0,240,85,95
14.8,-18,16,244,85,95
14.9,-11,-8,257,85,95
15,-16,3,252,85,95
15.1,-18,2,244,85,95
15.2,-21,-2,236,85,95
15.3,-16,-10,229,85,95
15.4,-39,-18,448,85,95
15.5,-24,10,210,85,95
15.6,-17,2,240,85,95
15.7,-18,17,242,85,95
15.8,-20,9,241,85,95
15.9,-16,12,240,85,95
16,-17,11,242,85,95
16.1,-19,2,246,85,95
16.2,-18,3,244,85,95
16.3,-20,-2,243,85,95
16.4,-20,-6,240,85,95
16.5,-20,-15,240,86,96
16.6,-18,0,242,86,96
16.7,-20,-5,241,86,96
16.8,-21,-5,245,86,96
16.9,-18,-3,239,87,98
17,-15,-8,238,87,98
17.1,-18,5,247,87,98
17.2,-18,-7,254,87,98
17.3,-24,-3,240,87,98
17.4,2,-4,233,87,98
17.5,-15,11,218,87,98
17.6,-12,25,170,87,98
17.7,-20,13,232,87,98
17.8,-16,15,241,87,98
17.9,-16,10,242,87,98
18,-15,11,228,87,98
18.1,-24,1,231,87,98
18.2,-15,4,239,87,98
18.3,-20,8,237,87,98
18.4,-17,0,226,88,99
18.5,-19,1,247,88,99
18.6,-21,-5,243,88,99
18.7,-21,-9,240,88,99
18.8,-20,-9,239,88,99
18.9,-17,6,238,88,99
19,-19,6,238,88,99
19.1,-20,13,242,88,99
19.2,-21,-17,240,88,99
19.3,-16,-15,242,88,99
19.4,-14,-1,251,89,101
19.5,-15,-2,237,89,101
19.6,-18,3,240,89,101
19.7,-11,9,237,89,101
19.8,-24,21,235,89,101
19.9,-18,18,240,89,101
20,-14,19,231,89,101
20.1,-21,10,241,89,101
20.2,-28,6,241,89,101
20.3,-7,10,240,89,101
20.4,-20,4,239,89,101
20.5,-16,-2,239,89,101
20.6,-20,-1,242,89,101
20.7,-22,0,241,89,101
20.8,-19,-2,241,89,101
20.9,-23,5,240,89,101
21,-24,3,242,89,101
21.1,-19,4,241,89,101
21.2,-18,11,243,89,101
21.3,-19,4,242,89,101
21.4,-19,0,241,89,101
21.5,-19,5,241,89,101
21.6,-14,1,238,89,101
21.7,-18,5,241,89,101
21.8,-19,1,241,89,101
21.9,-18,7,244,89,101
22,-22,6,241,89,101
22.1,-20,0,241,89,101
22.2,-20,5,241,89,101
22.3,-18,5,241,89,101
22.4,-20,3,241,89,101
22.5,-20,6,242,89,101
22.6,-18,-1,242,89,101
22.7,-17,3,243,89,101
22.8,-19,-3,240,89,101
22.9,-18,4,242,89,101
23,-15,-7,235,89,101
23.1,-16,15,232,89,101
23.2,32,8,235,89,101
23.3,-1,-1,251,89,101
23.4,-72,14,257,89,101
23.5,-14,-53,237,89,101
23.6,-27,21,243,89,101
23.7,-29,-1,239,89,101
23.8,-18,3,244,89,101
23.9,-23,17,239,89,101
24,-23,-6,228,89,101
24.1,-22,-10,240,89,101
24.2,-20,20,240,89,101
24.3,-16,65,249,89,101
24.4,-16,24,246,89,101
24.5,-18,-33,240,90,102
24.6,-26,3,240,90,102
24.7,-17,-9,240,90,102
24.8,-18,-12,239,90,102
24.9,-19,6,242,90,102
25,-18,6,241,90,102
25.1,-18,7,240,90,102
25.2,-17,9,242,90,102
25.3,-16,12,242,90,102
25.4,-21,0,243,90,102
25.5,-16,11,244,90,102
25.6,-13,11,239,90,102
25.7,-19,8,242,90,102
25.8,-19,1,241,90,102
25.9,-19,1,241,90,102
26,-19,5,242,90,102
26.1,-15,-21,233,90,102
26.2,-34,7,244,91,103
26.3,-11,12,244,91,103
26.4,-13,1,245,91,103
26.5,3,-4,239,91,103
26.6,-14,1,241,91,103
26.7,-17,-13,242,91,103
26.8,-24,17,251,91,103
26.9,-19,7,241,91,103
27,-14,-3,240,91,103
27.1,-31,-8,234,91,103
27.2,-27,21,240,91,103
27.3,-26,13,239,91,103
27.4,-14,-6,239,91,103
27.5,-12,-1,246,91,103
27.6,-24,6,249,91,103
27.7,-18,47,244,91,103
27.8,-13,0,244,91,103
27.9,-15,-17,225,91,103
28,-24,-16,229,92,105
28.1,-13,14,242,92,105
28.2,-19,30,244,92,105
28.3,-15,28,234,92,105
28.4,-13,17,235,92,105
28.5,-11,29,241,92,105
28.6,-17,10,241,92,105
28.7,-21,-2,242,92,105
28.8,-20,-9,240,92,105
28.9,-21,-8,243,92,105
29,-19,2,235,92,105
29.1,-17,14,251,92,105
29.2,-19,15,232,92,105
29.3,-16,15,248,92,105
29.4,-21,31,239,92,105
29.5,-21,11,242,93,106
29.6,-26,2,247,93,106
29.7,-20,17,243,93,106
29.8,-17,31,239,93,106
