time,ACx,ACy,ACz,encoder1,encoder2
1006360,-16,21,237,96727,14712
1006659,-31,24,240,96727,14712
1006888,4,140,243,96727,14712
1007192,49,132,201,96727,14712
1007401,11,108,185,96727,14712
1007707,49,181,147,96727,14712
1007853,102,174,131,96727,14712
1008217,133,158,88,96727,14712
1008378,155,158,142,96727,14712
1008729,137,157,135,96727,14712
1009036,8,46,210,96727,14714
1009258,-29,12,276,96727,14714
1009557,25,13,239,96727,14714
1009753,20,31,260,96727,14714
1010060,53,-5,213,96727,14715
1010369,20,-12,271,96728,14716
1010674,35,7,265,96728,14716
1010896,2,1,258,96728,14716
1011196,48,2,262,96800,14716
1011504,73,9,260,96800,14717
1011677,66,-6,257,96800,14717
1012006,53,4,258,96831,14717
1012312,3,23,251,96831,14718
1012620,19,2,260,96841,14718
1012786,29,2,258,96841,14718
1013132,-22,-3,211,96903,14718
1013442,66,-26,305,96904,14719
1013603,13,13,256,96904,14720
1013951,-11,17,264,96905,14721
1014259,-15,23,256,96906,14722
1014491,-45,-3,269,96906,14723
1014782,207,1,211,96908,14725
1015077,77,-11,270,96908,14726
1015313,-32,-7,229,96909,14727
1015590,-14,0,261,96910,14727
1015640,10,2,263,96910,14727
1015897,7,28,233,96911,14728
1015955,51,-31,257,96911,14728
1016077,94,20,233,96911,14729
1016404,20,3,264,96912,14729
1016663,7,-4,261,96913,14730
1017026,-2,18,270,96913,14732
1017331,40,0,197,96914,14733
1017457,116,2,254,96915,14735
1017842,29,32,240,96916,14777
1018090,26,25,290,96917,14778
1018354,-7,46,285,96919,14778
1018600,23,11,272,96920,14779
1018870,28,9,263,96920,14779
1019174,21,-19,232,96921,14780
1019431,28,-5,265,96922,14780
1019692,20,-27,254,96922,14781
1019942,64,-9,255,96922,14781
1020198,33,9,248,96922,14781
1020450,-25,-20,273,96923,14782
1020606,25,7,259,96923,14782
1020914,16,6,264,96923,14782
1021221,17,1,259,96923,14783
1021352,21,27,267,96926,14783
1021631,44,57,231,96927,14784
1021938,-32,116,269,96927,14785
1022196,54,-5,237,96929,14786
1022451,71,-11,256,96930,14788
