time,ACx,ACy,ACz,encoder1,encoder2
0.1,-24,8,217,4,4
0.2,4,2,205,4,4
0.3,-18,-77,246,4,4
0.4,-18,14,268,4,4
0.5,-22,-31,230,4,4
0.6,-26,-102,232,4,4
0.7,-11,-67,325,4,4
0.8,35,-48,220,4,4
0.9,2,3,257,5,5
1,-8,11,256,5,5
1.1,-25,6,235,6,6
1.2,-7,15,223,6,6
1.3,48,20,144,7,8
1.4,-52,26,196,7,8
1.5,-6,29,237,7,8
1.6,-18,14,229,8,9
1.7,-30,10,215,8,9
1.8,-16,21,225,8,9
1.9,-19,25,235,9,10
2,-21,19,233,9,10
2.1,-16,20,238,9,10
2.2,-23,25,248,9,10
2.3,-23,21,240,9,10
2.4,-17,21,242,9,10
2.5,-21,20,241,9,10
2.6,-21,7,241,9,10
2.7,-22,4,241,9,10
2.8,-22,3,241,9,10
2.9,-21,5,242,9,10
3,-21,7,240,9,10
3.1,-21,5,241,9,10
3.2,-23,6,241,9,10
3.3,-23,5,241,9,10
3.4,-22,6,240,9,10
3.5,-22,5,241,9,10
3.6,-23,6,242,9,10
3.7,-23,5,241,9,10
3.8,-22,6,241,9,10
3.9,-22,6,240,9,10
4,-21,6,241,9,10
4.1,-22,5,241,9,10
4.2,-22,6,241,9,10
4.3,-22,5,241,9,10
4.4,-22,5,241,9,10
4.5,-21,5,241,9,10
4.6,-21,5,241,9,10
4.7,-22,5,242,9,10
4.8,-23,5,240,9,10
4.9,-21,6,241,9,10
5,-21,4,241,9,10
5.1,-22,6,241,9,10
5.2,-23,6,242,9,10
5.3,-22,6,240,9,10
5.4,-22,5,242,9,10
5.5,-23,6,241,9,10
5.6,-21,6,240,9,10
5.7,-22,6,240,9,10
5.8,-21,5,240,9,10
5.9,-22,6,242,9,10
6,-22,6,242,9,10
6.1,-21,5,241,9,10
6.2,-22,6,241,9,10
6.3,-21,5,241,9,10
6.4,-23,6,240,9,10
6.5,-22,7,242,9,10
6.6,-22,7,240,9,10
6.7,-23,5,241,9,10
6.8,-22,5,241,9,10
6.9,-22,6,241,9,10
7,-22,5,240,9,10
7.1,-22,6,240,9,10
7.2,-21,5,241,9,10
7.3,-22,5,241,9,10
7.4,-22,6,241,9,10
7.5,-22,6,241,9,10
7.6,-21,5,242,9,10
7.7,-22,5,240,9,10
7.8,-23,6,241,9,10
7.9,-23,6,241,9,10
8,-21,5,242,9,10
8.1,-22,5,241,9,10
8.2,-21,6,241,9,10
8.3,-23,5,242,9,10
8.4,-22,5,242,9,10
8.5,-22,5,241,9,10
8.6,-22,6,240,9,10
8.7,-22,6,241,9,10
8.8,-22,5,241,9,10
8.9,-21,4,241,9,10
9,-22,5,241,9,10
9.1,-22,4,242,9,10
9.2,-21,6,241,9,10
9.3,-22,5,241,9,10
9.4,-23,6,241,9,10
9.5,-22,4,241,9,10
9.6,-23,6,241,9,10
9.7,-22,6,241,9,10
9.8,-21,6,242,9,10
9.9,-22,6,241,9,10
10,-21,6,241,9,10
10.1,-22,6,241,9,10
10.2,-22,5,242,9,10
10.3,-22,6,242,9,10
10.4,-22,5,240,9,10
10.5,-22,5,240,9,10
10.6,-22,6,242,9,10
10.7,-22,5,241,9,10
10.8,-23,5,241,9,10
10.9,-23,5,241,9,10
11,-22,5,242,9,10
11.1,-23,5,242,9,10
11.2,-22,5,240,9,10
11.3,-22,5,241,9,10
11.4,-22,5,241,9,10
11.5,-22,5,241,9,10
11.6,-22,5,241,9,10
11.7,-22,6,242,9,10
11.8,-22,6,241,9,10
11.9,-21,5,241,9,10
12,-22,6,241,9,10
12.1,-23,6,241,9,10
12.2,-22,6,241,9,10
12.3,-22,6,241,9,10
12.4,-22,6,241,9,10
12.5,-22,6,240,9,10
12.6,-20,5,242,9,10
12.7,-22,6,240,9,10
12.8,-21,5,241,9,10
12.9,-22,4,240,9,10
13,-22,5,241,9,10
13.1,-22,6,241,9,10
13.2,-22,5,241,9,10
13.3,-22,6,242,9,10
13.4,-22,6,241,9,10
13.5,-22,6,241,9,10
13.6,-22,5,241,9,10
13.7,-23,7,242,9,10
13.8,-22,6,241,9,10
13.9,-22,5,241,9,10
14,-22,6,241,9,10
14.1,-22,7,241,9,10
14.2,-21,6,242,9,10
14.3,-22,6,242,9,10
14.4,-22,6,241,9,10
14.5,-22,5,240,9,10
14.6,-21,5,242,9,10
14.7,-21,5,241,9,10
14.8,-21,6,240,9,10
14.9,-22,5,240,9,10
15,-22,6,241,9,10
15.1,-21,5,242,9,10
15.2,-22,6,241,9,10
15.3,-21,5,241,9,10
15.4,-22,7,241,9,10
15.5,-23,7,242,9,10
15.6,-21,5,241,9,10
15.7,-22,7,241,9,10
15.8,-22,6,241,9,10
15.9,-22,5,241,9,10
16,-22,6,241,9,10
16.1,-22,6,241,9,10
16.2,-22,6,241,9,10
16.3,-23,5,240,9,10
16.4,-22,6,241,9,10
16.5,-22,6,240,9,10
16.6,-23,6,240,9,10
16.7,-22,6,242,9,10
16.8,-22,5,240,9,10
16.9,-22,6,240,9,10
17,-22,5,240,9,10
17.1,-22,5,241,9,10
17.2,-23,5,242,9,10
17.3,-23,5,240,9,10
17.4,-23,6,241,9,10
17.5,-22,5,241,9,10
17.6,-21,6,243,9,10
17.7,-23,6,240,9,10
17.8,-23,6,242,9,10
17.9,-22,6,242,9,10
18,-22,6,241,9,10
18.1,-22,5,241,9,10
18.2,-22,5,241,9,10
18.3,-21,4,240,9,10
18.4,-21,4,242,9,10
18.5,-23,6,241,9,10
18.6,-21,5,240,9,10
18.7,-23,6,244,9,10
18.8,-22,6,240,9,10
18.9,-21,5,242,9,10
19,-22,5,240,9,10
19.1,-22,6,241,9,10
19.2,-23,5,240,9,10
19.3,-21,4,241,9,10
19.4,-22,5,241,9,10
19.5,-22,6,241,9,10
19.6,-23,5,241,9,10
19.7,-22,6,241,9,10
19.8,-22,6,242,9,10
19.9,-22,6,240,9,10
20,-21,6,240,9,10
20.1,-23,5,240,9,10
20.2,-21,4,241,9,10
20.3,-22,6,240,9,10
20.4,-23,6,242,9,10
20.5,-22,5,242,9,10
20.6,-21,5,242,9,10
20.7,-23,6,241,9,10
20.8,-22,6,241,9,10
20.9,-22,4,241,9,10
21,-24,6,239,9,10
21.1,-23,5,240,9,10
21.2,-21,6,240,9,10
21.3,-28,-11,209,9,10
21.4,-7,20,247,9,10
21.5,-24,-8,239,9,10
21.6,-21,6,241,9,10
21.7,-20,2,241,9,10
21.8,-19,10,241,9,10
21.9,-23,3,241,9,10
22,-21,5,241,9,10
22.1,-22,8,241,9,10
22.2,-23,8,239,9,10
22.3,-21,5,241,9,10
22.4,-22,5,242,9,10
22.5,-22,4,241,9,10
22.6,-22,5,241,9,10
22.7,-22,6,242,9,10
22.8,-21,5,241,9,10
22.9,-21,4,241,9,10
23,-20,12,241,9,10
23.1,-25,1,241,9,10
23.2,-22,9,240,9,10
23.3,-23,6,241,9,10
23.4,-22,6,241,9,10
23.5,-22,5,240,9,10
23.6,-21,6,241,9,10
23.7,-22,5,241,9,10
23.8,-22,6,240,9,10
23.9,-22,5,242,9,10
24,-21,6,241,9,10
24.1,-22,6,242,9,10
24.2,-21,6,241,9,10
24.3,-23,6,241,9,10
24.4,-22,5,240,9,10
24.5,-23,5,241,9,10
24.6,-21,6,241,9,10
24.7,-22,5,240,9,10
24.8,-22,5,240,9,10
24.9,-23,5,240,9,10
25,-21,5,240,9,10
25.1,-22,6,241,9,10
25.2,-22,5,242,9,10
25.3,-22,7,240,9,10
25.4,-22,6,241,9,10
25.5,-22,5,242,9,10
25.6,-22,5,240,9,10
25.7,-22,6,242,9,10
25.8,-21,5,241,9,10
25.9,-22,5,241,9,10
26,-21,5,241,9,10
26.1,-23,6,240,9,10
26.2,-21,6,241,9,10
26.3,-21,6,241,9,10
26.4,-22,5,240,9,10
26.5,-21,5,240,9,10
26.6,-22,5,241,9,10
26.7,-22,6,241,9,10
26.8,-21,5,241,9,10
26.9,-23,5,240,9,10
27,-22,5,241,9,10
27.1,-22,7,240,9,10
27.2,-22,5,242,9,10
27.3,-22,6,241,9,10
27.4,-22,5,242,9,10
27.5,-22,5,243,9,10
27.6,-21,5,241,9,10
27.7,-22,6,241,9,10
27.8,-22,6,241,9,10
27.9,-22,5,240,9,10
28,-22,4,241,9,10
28.1,-21,6,240,9,10
28.2,-22,5,241,9,10
28.3,-21,5,241,9,10
28.4,-21,6,241,9,10
28.5,-22,5,240,9,10
28.6,-22,5,241,9,10
28.7,-22,6,241,9,10
28.8,-22,6,240,9,10
28.9,-21,5,240,9,10
29,-22,6,242,9,10
29.1,-21,4,241,9,10
29.2,-22,6,241,9,10
29.3,-22,5,241,9,10
29.4,-22,5,242,9,10
29.5,-23,6,241,9,10
29.6,-22,6,240,9,10
29.7,-22,6,242,9,10
29.8,-22,6,241,9,10
29.9,-22,5,241,9,10
30,-21,4,241,9,10
30.1,-23,5,241,9,10
30.2,-22,6,241,9,10
30.3,-22,5,242,9,10
30.4,-22,5,240,9,10
30.5,-22,6,241,9,10
30.6,-22,5,240,9,10
30.7,-22,5,242,9,10
30.8,-22,5,241,9,10
30.9,-21,4,241,9,10
31,-21,6,241,9,10
31.1,-22,5,242,9,10
31.2,-21,5,241,9,10
31.3,-22,6,241,9,10
31.4,-20,5,240,9,10
31.5,-22,6,241,9,10
31.6,-22,5,240,9,10
31.7,-22,5,242,9,10
31.8,-23,7,241,9,10
31.9,-22,6,242,9,10
32,-22,5,241,9,10
32.1,-22,6,242,9,10
32.2,-22,5,241,9,10
32.3,-21,5,241,9,10
32.4,-22,5,242,9,10
32.5,-22,6,241,9,10
32.6,-21,5,241,9,10
32.7,-22,5,242,9,10
32.8,-22,5,241,9,10
32.9,-22,5,240,9,10
33,-23,6,240,9,10
33.1,-22,6,241,9,10
33.2,-23,6,241,9,10
33.3,-21,7,241,9,10
33.4,-23,6,241,9,10
33.5,-22,5,241,9,10
33.6,-22,6,242,9,10
33.7,-22,6,242,9,10
33.8,-22,5,242,9,10
33.9,-22,6,241,9,10
34,-23,6,241,9,10
34.1,-22,6,240,9,10
34.2,-22,5,241,9,10
34.3,-22,6,241,9,10
34.4,-23,5,241,9,10
