time,ACx,ACy,ACz,encoder1,encoder2
0.1,-265,15,43,1,1
0.2,-270,26,13,1,1
0.3,-276,5,17,1,1
0.4,-255,3,41,1,1
0.5,-298,-1,40,1,1
0.6,-254,-11,24,1,1
0.7,-277,-38,20,1,1
0.8,-255,-58,20,1,1
0.9,-267,-58,21,1,1
1,-256,-70,22,1,1
1.1,-262,-76,28,1,1
1.2,-263,-66,22,1,1
1.3,-253,-57,12,1,1
1.4,-285,-45,22,1,1
1.5,-253,-45,16,1,1
1.6,-268,-43,26,1,1
1.7,-259,-33,28,1,1
1.8,-272,-19,31,1,1
1.9,-271,2,26,1,1
2,-262,6,23,1,1
2.1,-269,18,23,1,1
2.2,-261,17,21,1,1
2.3,-273,28,17,1,1
2.4,-271,27,15,1,1
2.5,-267,35,18,1,1
2.6,-273,43,17,1,1
2.7,-256,51,17,1,1
2.8,-267,67,21,1,1
2.9,-257,89,20,1,1
3,-253,101,19,1,1
3.1,-251,101,23,1,1
3.2,-229,102,11,1,1
3.3,-282,130,13,1,1
3.4,-235,113,8,1,1
3.5,-252,115,6,1,1
3.6,-250,93,13,1,1
3.7,-269,100,16,1,1
3.8,-251,94,11,1,1
3.9,-253,101,12,1,1
4,-255,99,13,1,1
4.1,-254,101,11,1,1
4.2,-257,100,13,1,1
4.3,-253,99,10,1,1
4.4,-249,98,12,1,1
4.5,-265,95,6,1,1
4.6,-243,89,7,1,1
4.7,-254,90,8,1,1
4.8,-234,89,0,1,1
4.9,-271,90,3,1,1
5,-263,88,9,1,1
5.1,-256,73,15,1,1
5.2,-258,82,15,1,1
5.3,-257,75,14,1,1
5.4,-260,75,20,1,1
5.5,-260,75,21,1,1
5.6,-262,75,16,1,1
5.7,-258,72,20,1,1
5.8,-257,82,16,1,1
5.9,-260,75,17,1,1
6,-262,72,20,1,1
6.1,-254,88,13,1,1
6.2,-258,79,16,1,1
6.3,-258,85,13,1,1
6.4,-255,86,8,1,1
6.5,-260,89,10,1,1
6.6,-258,84,5,1,1
6.7,-256,83,3,1,1
6.8,-260,84,4,1,1
6.9,-259,89,5,1,1
7,-261,84,3,1,1
7.1,-269,83,2,1,1
7.2,-256,88,1,1,1
7.3,-257,86,0,1,1
7.4,-259,88,2,1,1
7.5,-258,89,1,1,1
7.6,-256,85,4,1,1
7.7,-260,86,2,1,1
7.8,-257,84,2,1,1
7.9,-259,84,1,1,1
8,-256,84,2,1,1
8.1,-260,79,-1,1,1
8.2,-259,82,2,1,1
8.3,-261,83,4,1,1
8.4,-259,82,3,1,1
8.5,-259,79,5,1,1
8.6,-260,78,5,1,1
8.7,-265,78,6,1,1
8.8,-244,74,-4,1,1
8.9,-270,58,3,1,1
9,-273,51,13,1,1
9.1,-263,53,-9,1,1
9.2,-227,58,-33,1,1
9.3,-200,39,12,1,1
