time,ACx,ACy,ACz,encoder1,encoder2
195170,28,5,259,312,162
195577,27,5,258,312,162
195914,28,4,261,312,162
196328,27,4,259,312,162
196633,27,5,259,312,162
197149,28,6,261,312,162
197379,28,5,259,312,162
197744,28,5,260,312,162
198203,28,5,261,312,162
198510,28,3,258,312,162
198868,27,6,260,312,162
199102,28,7,259,312,162
199382,26,6,259,312,162
199613,27,4,258,312,162
199894,28,5,259,312,162
200202,31,5,260,312,162
200509,28,5,258,312,162
200743,27,5,260,312,162
201021,27,3,259,312,162
201335,29,6,259,312,162
201565,29,5,259,312,162
201840,28,5,258,312,162
202148,29,4,260,312,162
202392,28,4,259,312,162
202603,28,5,259,312,162
202967,29,4,260,312,162
203253,28,5,259,312,162
203490,28,5,260,312,162
203786,28,6,260,312,162
204093,28,5,258,312,162
204352,28,6,259,312,162
204605,28,5,259,312,162
204917,29,5,260,312,162
205077,27,6,260,312,162
205432,27,6,258,312,162
205755,10,-27,276,312,162
205906,19,20,241,312,162
206359,61,-7,280,313,163
206839,49,3,258,313,172
207060,11,-13,259,313,172
207254,17,-14,264,314,172
207545,15,6,257,314,172
207889,11,7,255,314,172
208189,25,5,258,314,217
208335,26,5,261,314,217
208701,21,8,261,314,217
208854,25,14,264,314,217
209215,136,37,102,314,227
209417,62,-12,250,314,227
209727,52,1,259,314,227
209877,51,-1,253,314,228
210247,49,1,258,314,228
210387,48,2,257,314,228
210647,48,0,257,314,228
210954,17,-103,276,314,228
211160,47,-4,253,314,228
211470,16,14,258,314,228
211682,23,3,261,314,228
211989,2,-10,272,314,229
212126,26,-30,276,314,229
212496,23,10,254,314,229
212803,43,6,255,314,237
212951,33,4,260,314,237
213273,31,6,263,314,237
213621,19,4,258,314,237
213776,27,2,261,314,237
214127,13,-53,260,314,237
214435,-11,-85,185,314,237
214640,27,9,189,315,237
214947,-22,45,275,316,238
215259,32,4,256,316,238
215460,33,9,250,316,238
215766,31,3,259,316,238
216074,26,1,259,317,238
216279,31,5,258,317,241
216586,25,3,259,317,241
216893,19,5,255,317,241
217097,28,3,261,317,242
217405,28,5,260,317,242
217626,16,-22,243,317,242
218019,27,0,260,317,242
218224,26,-2,259,317,242
218531,29,3,264,317,242
218839,28,2,259,317,242
219001,24,1,260,317,242
219351,26,1,260,317,242
219658,27,2,259,317,242
219863,28,3,259,317,242
220170,25,3,260,317,242
220477,28,2,259,317,242
220682,-20,1,265,317,257
220989,28,38,239,318,258
221297,18,-3,257,319,259
221502,20,7,257,319,259
221808,-23,24,265,319,259
222116,109,49,266,320,260
222422,21,3,259,321,261
222582,27,2,260,321,261
222935,23,2,259,321,261
223252,-135,-9,270,321,261
223384,36,12,273,322,262
223754,-12,13,258,324,263
223901,64,3,240,324,264
224266,29,3,259,324,264
224477,12,8,260,324,264
224786,27,7,253,325,265
224992,0,-16,229,325,265
225290,27,15,264,326,266
225507,8,-22,279,327,267
225802,-90,-35,296,328,268
