time,ACx,ACy,ACz,encoder1,encoder2
0.1,-22,2,240,1453,1460
0.2,-22,3,240,1453,1460
0.3,22,-132,511,1453,1460
0.4,-84,-163,277,1453,1460
0.5,-14,-190,132,1454,1461
0.6,57,9,343,1454,1461
0.7,45,16,119,1455,1462
0.8,55,78,384,1455,1462
0.9,15,43,229,1456,1463
1,60,-137,163,1457,1464
1.1,132,11,337,1458,1465
1.2,30,63,258,1458,1465
1.3,-83,79,218,1458,1465
1.4,-7,212,245,1458,1465
1.5,-5,48,156,1458,1465
1.6,-40,41,199,1458,1465
1.7,9,1,336,1459,1466
1.8,-96,-41,229,1459,1466
1.9,-23,-60,222,1461,1468
2,-52,-60,231,1461,1468
2.1,-23,-4,249,1461,1468
2.2,-44,32,255,1461,1468
2.3,-28,7,247,1461,1468
2.4,-36,-31,232,1461,1468
2.5,-15,10,250,1461,1468
2.6,-25,-21,246,1461,1468
2.7,-49,-29,231,1461,1468
2.8,-3,-61,226,1461,1468
2.9,-19,-18,237,1462,1469
3,7,-63,257,1462,1469
3.1,60,-51,359,1462,1469
3.2,91,-45,174,1463,1470
3.3,223,-84,394,1464,1471
3.4,131,-104,63,1464,1471
3.5,138,-52,243,1466,1473
3.6,139,269,400,1469,1476
3.7,78,41,227,1469,1476
3.8,129,102,260,1469,1476
3.9,-50,103,277,1470,1477
4,21,86,249,1470,1477
4.1,82,137,228,1470,1477
4.2,-130,115,222,1470,1477
4.3,-75,104,239,1470,1477
4.4,-121,25,234,1471,1478
4.5,-164,13,170,1471,1478
4.6,-259,34,267,1472,1479
4.7,-211,12,147,1472,1479
4.8,-296,-21,253,1473,1480
4.9,-258,-87,191,1473,1480
5,-304,18,-39,1473,1480
5.1,-209,-11,-129,1473,1480
5.2,-73,61,-114,1473,1480
5.3,177,-80,38,1473,1480
5.4,-116,19,-393,1473,1480
5.5,6,84,-247,1473,1480
5.6,2,24,-266,1473,1480
5.7,0,35,-264,1473,1480
5.8,3,45,-256,1473,1480
5.9,3,38,-260,1473,1480
6,3,42,-259,1473,1480
6.1,28,40,-273,1473,1480
6.2,-24,48,-260,1473,1480
6.3,-45,40,-229,1473,1480
6.4,-252,13,-214,1473,1480
6.5,-512,-102,-84,1473,1480
6.6,-261,63,34,1473,1480
6.7,-254,32,78,1473,1480
6.8,-213,28,133,1473,1480
6.9,-172,-12,187,1473,1480
7,-160,16,166,1473,1480
7.1,-72,-17,204,1473,1480
7.2,256,-9,161,1473,1480
7.3,8,41,274,1474,1481
7.4,-17,21,252,1474,1481
7.5,-39,-2,241,1474,1481
7.6,-21,-42,229,1474,1481
7.7,-15,-56,237,1474,1481
7.8,-52,-43,246,1474,1481
7.9,-7,-17,243,1474,1481
8,-25,-56,239,1474,1481
8.1,-10,-22,214,1474,1481
8.2,-13,14,236,1474,1481
8.3,-21,3,204,1474,1481
8.4,41,56,254,1474,1481
8.5,-17,-34,317,1474,1481
8.6,-23,-35,207,1475,1482
8.7,22,-58,184,1475,1482
8.8,21,-33,267,1476,1483
8.9,132,-90,320,1476,1483
9,55,40,220,1477,1484
9.1,63,144,163,1477,1484
9.2,-68,108,246,1478,1485
