time,ACx,ACy,ACz,encoder1,encoder2
0.2,-21,7,242,0,13
0.3,-22,7,243,0,13
0.4,-21,7,242,0,13
0.5,-21,7,242,0,13
0.6,-22,7,243,0,13
0.7,-22,7,241,0,13
0.8,-20,7,241,0,13
0.9,-20,7,241,0,13
1,-21,8,242,0,13
1.1,-20,7,241,0,13
1.2,-21,6,242,0,13
1.3,-21,7,241,0,13
1.4,-22,8,243,0,13
1.5,-20,8,241,0,13
1.6,-21,7,241,0,13
1.7,-18,9,247,0,13
1.8,-21,8,241,0,13
1.9,-21,7,241,0,13
2,-21,6,241,0,13
2.1,-15,60,236,0,13
2.2,-23,63,244,1,14
2.3,-13,63,252,1,14
2.4,-25,70,258,1,14
2.5,-9,58,253,1,14
2.6,-11,28,204,2,15
2.7,-31,-35,277,2,15
2.8,-11,-225,214,3,16
2.9,-55,-370,236,3,16
3,-73,-420,256,7,20
3.1,73,-144,77,9,22
3.2,-119,71,380,12,25
3.3,47,-38,190,14,27
3.4,105,66,511,16,29
3.5,98,103,511,18,31
3.6,-7,9,53,20,33
3.7,-13,94,470,23,36
3.8,-4,20,-47,25,38
3.9,3,-15,7,28,41
4,10,34,213,30,43
4.1,-13,-1,44,31,44
4.2,-8,22,69,35,48
4.3,37,11,-43,42,55
4.4,-90,55,-100,45,58
4.5,15,72,-206,45,58
4.6,78,165,205,45,58
4.7,-249,64,511,45,58
4.8,-9,54,400,45,58
4.9,-24,12,230,45,58
5,-37,-1,233,45,58
5.1,-19,-1,248,45,58
5.2,-29,-4,240,45,58
5.3,-15,4,246,45,58
5.4,-25,-1,243,45,58
5.5,-27,0,239,45,58
5.6,-22,0,238,45,58
5.7,-21,-4,240,45,58
5.8,-23,0,241,45,58
5.9,-23,1,241,45,58
6,-22,4,242,45,58
6.1,-22,3,242,45,58
6.2,-23,5,240,45,58
6.3,-23,3,241,45,58
6.4,-22,3,241,45,58
6.5,-22,3,242,45,58
6.6,-22,3,242,45,58
6.7,-23,3,242,45,58
6.8,-23,3,243,45,58
6.9,-23,4,242,45,58
7,-22,4,241,45,58
7.1,-22,3,242,45,58
7.2,-22,4,241,45,58
7.3,-22,4,241,45,58
7.4,-22,3,241,45,58
7.5,-21,3,241,45,58
7.6,-21,3,242,45,58
7.7,-22,5,241,45,58
7.8,-22,3,241,45,58
7.9,-22,4,242,45,58
8,-22,3,243,45,58
8.1,-23,4,242,45,58
8.2,-23,3,244,45,58
8.3,-21,3,241,45,58
8.4,-23,4,241,45,58
8.5,-22,4,242,45,58
8.6,-22,3,241,45,58
8.7,-23,3,241,45,58
8.8,-23,4,243,45,58
