time,ACx,ACy,ACz,encoder1,encoder2
0.1,-19,6,242,0,0
0.2,-19,5,242,0,0
0.3,-20,5,241,0,0
0.4,-20,5,242,0,0
0.5,-20,5,240,0,0
0.6,-19,5,242,0,0
0.7,-21,7,241,0,0
0.8,-20,6,242,0,0
0.9,-20,5,242,0,0
1,-20,5,240,0,0
1.1,-20,5,240,0,0
1.2,-6,30,240,0,0
1.3,-14,46,240,0,0
1.4,-24,2,247,0,0
1.5,-19,-26,229,0,0
1.6,-27,-21,229,0,0
1.7,-20,-11,240,0,1
1.8,-20,27,242,0,1
1.9,-17,32,246,0,1
2,-19,42,262,1,1
2.1,-15,42,235,1,1
2.2,-85,161,467,1,1
2.3,-58,-59,229,1,1
2.4,-36,-11,236,1,1
2.5,-26,25,251,1,2
2.6,-30,11,256,2,2
2.7,-23,-6,225,2,2
2.8,-31,-30,247,2,2
2.9,-21,1,233,2,2
3,-23,21,225,2,2
3.1,-56,9,254,2,2
3.2,-8,17,268,2,3
3.3,-23,3,235,2,3
3.4,-19,-59,240,2,3
3.5,-23,-31,233,2,3
3.6,-23,17,239,2,3
3.7,-25,60,255,2,3
3.8,-19,17,225,2,3
3.9,-9,8,229,2,3
4,-22,24,238,2,3
4.1,-6,7,243,2,4
4.2,-23,25,239,2,4
4.3,-13,-8,242,2,4
4.4,-24,-38,242,2,4
4.5,-18,4,236,2,4
4.6,-18,44,244,2,4
4.7,-14,73,238,2,4
4.8,27,-74,179,2,5
4.9,-24,-4,248,2,5
5,-21,65,256,2,5
5.1,-24,-9,242,2,5
5.2,-28,19,244,2,5
5.3,-30,4,236,2,6
5.4,-25,-88,259,2,6
5.5,-32,6,244,2,6
5.6,-25,-9,242,2,6
5.7,-24,72,243,2,6
5.8,-11,41,239,2,6
5.9,-45,-65,212,2,8
6,-25,134,244,3,8
6.1,-36,4,234,3,8
6.2,-27,-36,263,3,8
6.3,-25,-78,228,3,9
6.4,-26,61,240,3,9
6.5,-16,55,234,3,9
6.6,-14,-27,256,3,9
6.7,-28,-20,256,3,9
6.8,-13,6,233,3,10
6.9,-17,9,234,3,10
7,-55,-15,230,3,10
7.1,-24,-27,211,3,11
7.2,-20,-1,242,3,11
7.3,-23,12,238,3,11
7.4,-29,35,240,3,11
7.5,-143,245,281,3,11
7.6,7,-98,281,3,11
7.7,-24,7,239,3,11
7.8,-19,10,223,3,11
7.9,-22,7,241,3,11
8,-23,6,242,3,11
8.1,-22,5,241,3,11
8.2,-24,6,242,3,11
8.3,-24,5,241,3,11
8.4,-23,6,242,3,11
8.5,-24,6,241,3,11
8.6,-23,6,241,3,11
8.7,-23,6,242,3,11
8.8,-24,7,241,3,11
8.9,-23,5,241,3,11
9,-23,6,241,3,11
9.1,-23,6,241,3,11
9.2,-23,7,241,3,11
9.3,-24,7,241,3,11
9.4,-24,7,241,3,11
9.5,-24,6,242,3,11
9.6,-22,6,241,3,11
9.7,-22,5,241,3,11
9.8,-23,7,241,3,11
9.9,-23,6,240,3,11
10,-24,7,241,3,11
10.1,-23,7,240,3,11
10.2,-22,6,242,3,11
10.3,-23,7,241,3,11
10.4,-23,6,241,3,11
10.5,-24,6,241,3,11
10.6,-23,6,241,3,11
10.7,-22,5,241,3,11
10.8,-23,6,241,3,11
10.9,-23,6,240,3,11
11,-22,6,242,3,11
11.1,-23,6,242,3,11
11.2,-23,6,241,3,11
11.3,-24,7,242,3,11
11.4,-23,6,241,3,11
11.5,-24,6,241,3,11
11.6,14,1,230,3,11
11.7,-36,-33,224,3,11
11.8,-9,-31,235,3,11
11.9,-24,-63,258,3,11
12,-23,-51,245,3,11
12.1,-23,-33,255,3,12
12.2,-33,21,258,3,12
12.3,-19,99,226,4,13
12.4,-69,-24,224,4,13
12.5,-19,-41,224,4,13
12.6,-59,135,259,5,14
12.7,-44,-92,237,5,14
12.8,-15,13,235,5,14
12.9,2,-19,226,7,14
13,-12,40,236,7,14
13.1,-11,88,240,7,15
13.2,-20,-157,259,7,15
13.3,-14,2,255,7,15
13.4,26,102,250,8,15
13.5,8,43,250,8,16
13.6,-18,12,226,8,16
13.7,-26,18,255,9,17
13.8,-7,65,256,9,17
13.9,-18,9,216,9,17
