time,ACx,ACy,ACz,encoder1,encoder2
0.1,150,-169,98,3,4
0.2,149,-170,100,3,4
0.3,149,-170,102,3,4
0.4,148,-168,100,3,4
0.5,148,-169,102,3,4
0.6,148,-170,103,3,4
0.7,148,-170,100,3,4
0.8,145,-177,105,3,4
0.9,149,-174,102,3,4
1,146,-179,94,3,4
1.1,138,-188,95,3,4
1.2,125,-180,88,3,4
1.3,140,-214,67,3,4
1.4,138,-193,53,3,4
1.5,145,-213,48,3,4
1.6,109,-232,15,3,4
1.7,109,-209,54,3,4
1.8,149,-166,85,3,4
1.9,144,-176,121,3,4
2,180,-121,96,3,4
2.1,200,-81,90,3,4
2.2,200,-25,90,3,4
2.3,234,-25,113,3,4
2.4,232,-12,99,3,4
2.5,251,2,103,3,4
2.6,231,-4,104,3,4
2.7,226,15,97,3,4
2.8,221,9,85,3,4
2.9,231,17,92,3,4
3,206,17,100,3,4
3.1,214,84,92,4,5
3.2,239,81,99,4,5
3.3,215,63,101,4,5
3.4,211,57,111,4,5
3.5,244,64,78,4,5
3.6,238,49,56,4,5
3.7,245,17,64,4,5
3.8,243,33,59,4,5
3.9,240,25,63,4,5
4,246,26,70,4,5
4.1,219,38,80,4,5
4.2,222,38,88,4,5
4.3,229,63,102,4,5
4.4,238,62,96,4,5
4.5,224,-17,103,4,5
4.6,80,130,132,4,5
4.7,212,188,125,4,5
4.8,185,109,96,4,5
4.9,231,153,104,4,5
5,183,0,99,4,5
5.1,228,53,165,4,5
5.2,196,-9,125,4,5
5.3,200,37,127,4,5
5.4,209,53,117,4,5
5.5,191,48,127,4,5
5.6,244,-42,98,4,5
5.7,227,-33,126,4,5
5.8,234,43,125,4,5
5.9,223,-31,99,4,5
6,233,-3,98,4,5
6.1,233,2,93,4,5
6.2,236,4,94,4,5
6.3,234,4,87,4,5
6.4,236,6,86,4,5
6.5,230,1,82,4,5
6.6,233,-11,95,4,5
6.7,240,2,87,4,5
6.8,239,19,82,4,5
6.9,241,7,86,4,5
7,240,12,89,4,5
7.1,231,20,59,4,5
7.2,248,3,70,4,5
7.3,235,16,73,4,5
7.4,246,33,86,4,5
7.5,243,13,87,4,5
7.6,236,14,79,4,5
7.7,241,22,99,4,5
7.8,235,14,73,4,5
7.9,295,-6,95,4,5
8,244,-12,72,4,5
8.1,190,-70,111,4,5
8.2,143,-101,130,4,5
8.3,136,-137,168,4,5
8.4,185,-181,141,4,5
8.5,180,-139,72,4,5
8.6,172,-129,59,4,5
8.7,150,-128,90,4,5
8.8,127,-117,102,4,5
8.9,142,-133,154,4,5
9,142,-118,110,4,5
9.1,91,-167,147,4,5
9.2,99,-225,163,5,6
9.3,78,-206,113,5,6
9.4,67,-189,109,5,6
9.5,95,-214,118,5,6
9.6,89,-194,114,5,6
9.7,87,-204,104,5,6
9.8,80,-204,111,5,6
9.9,52,-212,108,5,6
10,60,-213,104,5,6
10.1,48,-211,111,5,6
10.2,83,-200,119,5,6
10.3,60,-216,108,5,6
10.4,65,-209,113,5,6
10.5,64,-206,109,5,6
10.6,67,-210,114,5,6
10.7,69,-208,115,5,6
10.8,77,-203,115,5,6
10.9,76,-202,117,5,6
11,77,-203,115,5,6
11.1,77,-200,117,5,6
11.2,78,-203,117,5,6
11.3,77,-202,115,5,6
11.4,75,-202,114,5,6
11.5,80,-204,118,5,6
11.6,80,-201,117,5,6
11.7,83,-200,115,5,6
11.8,82,-200,117,5,6
11.9,79,-200,113,5,6
12,89,-201,120,5,6
12.1,90,-193,117,5,6
12.2,117,-182,115,5,6
12.3,127,-166,119,5,6
12.4,183,-130,101,5,6
12.5,235,-88,131,5,6
12.6,208,2,130,6,7
12.7,189,18,126,6,7
12.8,217,77,91,6,7
12.9,196,38,112,6,7
13,234,14,109,6,7
13.1,214,57,124,6,7
13.2,197,49,135,6,7
13.3,128,30,127,6,7
13.4,238,112,152,6,7
13.5,205,52,118,6,7
13.6,218,42,102,6,7
13.7,234,16,108,6,7
13.8,223,24,101,6,7
13.9,232,21,101,6,7
14,229,3,85,6,7
14.1,234,0,89,6,7
14.2,232,1,85,6,7
14.3,233,2,88,6,7
14.4,236,2,86,6,7
14.5,256,14,77,6,7
14.6,228,-6,89,6,7
14.7,226,20,101,6,7
14.8,223,16,123,6,7
14.9,226,34,104,6,7
15,221,13,101,6,7
15.1,228,12,97,6,7
15.2,232,-24,86,6,7
15.3,232,2,84,6,7
15.4,233,3,90,6,7
15.5,240,0,93,6,7
15.6,235,8,76,6,7
15.7,233,27,54,6,7
15.8,209,19,116,6,7
15.9,212,49,123,6,7
16,232,22,107,6,7
16.1,251,25,100,6,7
16.2,206,58,71,6,7
16.3,231,92,81,6,7
16.4,199,121,97,6,7
16.5,227,87,98,6,7
16.6,226,-25,-9,6,7
16.7,235,-33,64,6,7
16.8,264,36,2,6,7
16.9,283,76,37,6,7
17,265,78,78,6,7
17.1,230,129,74,6,7
17.2,207,104,99,6,7
17.3,195,132,119,6,7
17.4,193,131,40,6,7
17.5,148,184,122,6,7
17.6,68,171,130,8,9
17.7,83,188,61,8,9
17.8,173,156,86,8,9
