time,ACx,ACy,ACz,encoder1,encoder2
0.1,-21,4,240,4,8
0.2,-20,4,242,4,8
0.3,-19,3,241,4,8
0.4,-19,4,242,4,8
0.5,-21,5,241,4,8
0.6,-19,3,242,4,8
0.7,-19,4,241,4,8
0.8,-20,3,241,4,8
0.9,-20,4,242,4,8
1,-20,4,241,4,8
1.1,-19,3,240,4,8
1.2,-20,4,242,4,8
1.3,-20,4,242,4,8
1.4,-20,4,242,4,8
1.5,-20,3,241,4,8
1.6,-19,3,242,4,8
1.7,-19,3,243,4,8
1.8,-20,4,241,4,8
1.9,-20,4,242,4,8
2,-19,4,242,4,8
2.1,-21,4,241,4,8
2.2,-20,4,241,4,8
2.3,-20,4,241,4,8
2.4,26,-31,312,4,8
2.5,-18,-54,252,4,8
2.6,-21,-35,239,4,8
2.7,-8,65,264,4,8
2.8,-10,69,241,4,8
2.9,-15,35,247,4,8
3,-2,2,238,5,10
3.1,1,0,232,5,10
3.2,-12,4,243,5,10
3.3,-10,-13,243,5,10
3.4,-13,-49,236,5,10
3.5,-19,-27,259,6,11
3.6,-2,46,247,6,11
3.7,-28,24,241,6,11
3.8,-17,5,245,6,11
3.9,-17,-13,240,6,11
4,-17,4,222,6,11
4.1,-5,11,224,6,11
4.2,13,-5,217,6,11
4.3,-26,23,241,6,11
4.4,-29,25,238,7,12
4.5,-30,36,237,7,12
4.6,-16,21,246,7,12
4.7,-11,-8,252,9,14
4.8,-9,-10,234,9,14
4.9,-20,-4,241,9,14
5,-17,4,241,9,14
5.1,-18,8,241,9,14
5.2,-30,-54,240,9,14
5.3,-1,-17,236,9,14
5.4,-16,15,236,10,16
5.5,-19,25,238,10,16
5.6,-12,15,244,10,16
5.7,-19,-7,241,10,16
5.8,-16,0,239,10,16
5.9,-20,1,240,10,16
6,-14,4,239,10,16
6.1,-22,9,241,10,16
6.2,-11,-9,241,10,16
6.3,-50,14,246,10,16
6.4,-19,0,240,10,16
6.5,-20,-9,242,10,16
6.6,-22,21,241,10,16
6.7,-24,0,241,10,16
6.8,-14,2,241,10,16
6.9,-17,5,241,10,16
7,-20,3,240,10,16
7.1,-25,0,242,10,16
7.2,-23,3,240,10,16
7.3,-17,2,241,10,16
7.4,-17,0,244,10,16
7.5,-17,2,240,10,16
7.6,-19,0,241,10,16
7.7,-15,1,239,10,16
7.8,-22,2,240,10,16
7.9,-18,-2,241,10,16
8,-8,6,243,10,16
8.1,-16,6,239,10,16
8.2,-19,-3,242,10,16
8.3,-20,2,242,10,16
8.4,-14,1,242,10,16
8.5,-19,1,242,10,16
8.6,-30,0,240,10,16
8.7,-18,8,243,10,16
8.8,-14,-2,240,10,16
8.9,-17,-5,241,10,16
9,-15,7,242,10,16
9.1,-20,2,241,10,16
9.2,-17,-5,240,10,16
9.3,0,8,230,10,16
9.4,-12,18,240,10,16
9.5,-22,3,240,10,16
9.6,-22,-8,228,10,16
9.7,-17,0,241,10,16
9.8,-20,4,240,10,16
9.9,-25,-3,245,10,16
10,-18,12,243,10,16
10.1,-11,5,238,10,16
10.2,-16,-10,240,10,16
10.3,-23,12,241,10,16
10.4,-25,0,242,10,16
10.5,-25,6,241,10,16
10.6,-16,5,241,10,16
10.7,-19,14,241,10,16
10.8,-16,2,241,10,16
10.9,-17,5,243,10,16
11,-25,1,240,10,16
11.1,-20,32,231,10,16
11.2,-31,-16,237,10,16
11.3,10,-22,245,11,17
11.4,-6,2,254,11,17
11.5,62,-3,218,11,17
11.6,157,-7,140,11,17
11.7,123,-20,185,11,17
11.8,85,-14,218,11,17
11.9,29,-7,252,11,17
12,7,-1,253,11,17
12.1,6,1,239,11,17
12.2,1,0,247,11,17
12.3,0,1,242,11,17
12.4,1,2,247,11,17
12.5,20,3,239,11,17
12.6,38,0,229,11,17
12.7,39,-10,237,11,17
12.8,41,-7,235,11,17
12.9,42,-1,240,11,17
13,46,-4,238,11,17
13.1,57,-6,234,11,17
13.2,55,-1,241,11,17
13.3,81,-4,216,11,17
13.4,96,-12,214,11,17
13.5,93,-6,217,11,17
13.6,70,-4,247,11,17
13.7,102,-1,217,11,17
