time,ACx,ACy,ACz,encoder1,encoder2
0.1,-21,0,241,1249,1266
0.2,-45,-52,263,1249,1266
0.3,-11,-20,247,1249,1266
0.4,-17,-32,223,1249,1266
0.5,5,16,240,1249,1266
0.6,-19,8,239,1249,1266
0.7,-17,-24,240,1249,1266
0.8,12,0,245,1249,1266
0.9,9,-39,211,1249,1266
1,-29,-44,249,1249,1266
1.1,-37,-34,260,1249,1266
1.2,-25,-38,264,1250,1267
1.3,-11,-1,179,1250,1267
1.4,-7,2,223,1250,1267
1.5,-30,5,255,1250,1267
1.6,-20,4,227,1251,1268
1.7,-24,17,248,1251,1268
1.8,-15,12,239,1251,1268
1.9,-9,-11,238,1251,1268
2,-15,22,243,1251,1268
2.1,-12,-2,232,1251,1268
2.2,-16,25,240,1251,1268
2.3,-14,-8,241,1251,1268
2.4,-27,-52,235,1252,1269
2.5,-71,39,289,1252,1269
2.6,-18,15,241,1252,1269
2.7,-31,-5,250,1252,1269
2.8,-11,46,239,1252,1269
2.9,-15,21,245,1252,1269
3,-17,-2,241,1252,1269
3.1,-26,8,240,1252,1269
3.2,-42,14,230,1252,1269
3.3,-10,2,245,1252,1269
3.4,-53,-38,263,1252,1269
3.5,-49,12,243,1252,1269
3.6,-25,22,231,1252,1269
3.7,-24,4,238,1252,1269
3.8,-26,-4,231,1252,1269
3.9,-17,-11,243,1252,1269
4,-33,-1,230,1252,1269
4.1,-27,9,246,1252,1269
4.2,-23,27,244,1252,1269
4.3,-29,21,244,1252,1269
4.4,-29,31,241,1252,1269
4.5,-44,24,238,1252,1269
4.6,-24,13,254,1252,1269
4.7,-34,-22,231,1253,1270
4.8,-29,17,241,1253,1270
4.9,1,28,227,1253,1270
5,-58,47,221,1253,1270
5.1,-16,36,245,1253,1270
5.2,-22,33,224,1253,1270
5.3,-22,17,237,1253,1270
5.4,-6,1,238,1253,1270
5.5,-20,-33,272,1253,1270
5.6,-11,3,257,1253,1270
5.7,-69,26,270,1253,1270
5.8,17,22,230,1253,1270
5.9,-28,17,236,1253,1270
6,0,-18,211,1253,1270
6.1,7,-33,228,1253,1270
6.2,-114,-33,319,1253,1270
6.3,-6,-48,204,1253,1270
6.4,-30,5,229,1253,1270
6.5,-24,-18,233,1253,1270
6.6,8,11,265,1253,1270
6.7,-3,-4,239,1253,1270
6.8,-41,14,241,1253,1270
6.9,-69,16,254,1253,1270
