time,ACx,ACy,ACz,encoder1,encoder2
0.1,-21,5,240,1,0
0.2,-20,4,241,1,0
0.3,-21,5,242,1,0
0.4,-19,4,240,1,0
0.5,-20,5,241,1,0
0.6,-20,5,239,1,0
0.7,-19,4,241,1,0
0.8,-20,4,240,1,0
0.9,-19,4,242,1,0
1,-22,5,242,1,0
1.1,-20,4,242,1,0
1.2,-20,4,240,1,0
1.3,-20,4,241,1,0
1.4,-4,14,235,1,0
1.5,-25,2,246,1,0
1.6,-21,5,241,1,0
1.7,-20,4,241,1,0
1.8,-21,4,241,1,0
1.9,-20,4,241,1,0
2,-22,4,240,1,0
2.1,-21,4,241,1,0
2.2,-20,5,241,1,0
2.3,-20,4,242,1,0
2.4,-21,4,240,1,0
2.5,-21,4,241,1,0
2.6,-21,5,241,1,0
2.7,-21,4,242,1,0
2.8,-21,4,241,1,0
2.9,-4,-237,220,2,0
3,-5,-110,94,2,1
3.1,-17,-42,103,3,2
3.2,-64,29,297,4,2
3.3,7,-22,171,5,4
3.4,26,7,233,5,4
3.5,-43,-4,168,6,5
3.6,-23,-16,207,8,6
3.7,-77,56,401,8,6
3.8,10,-2,195,9,7
3.9,-20,8,264,11,9
4,-89,31,279,11,9
4.1,-35,11,282,12,9
4.2,-14,-4,126,12,10
4.3,-36,21,342,13,12
4.4,-59,47,236,13,12
4.5,-61,25,340,14,14
4.6,-20,48,221,14,14
4.7,-1,9,214,15,15
4.8,-9,6,266,15,15
4.9,-89,511,94,15,15
5,-21,-11,239,15,15
5.1,-25,-4,245,15,15
5.2,-22,7,239,15,15
5.3,-20,6,241,15,15
5.4,-21,5,241,15,15
5.5,-21,6,241,15,15
5.6,-20,5,241,15,15
5.7,-22,5,241,15,15
5.8,-21,5,241,15,15
5.9,-21,5,241,15,15
6,-21,5,241,15,15
6.1,-20,5,240,15,15
6.2,-22,6,241,15,15
6.3,-22,4,241,15,15
6.4,-22,5,241,15,15
6.5,-21,5,240,15,15
6.6,-21,5,240,15,15
6.7,-21,5,242,15,15
6.8,-21,5,240,15,15
6.9,-21,4,242,15,15
7,-22,5,240,15,15
7.1,-21,5,240,15,15
