time,ACx,ACy,ACz,encoder1,encoder2
0.1,-16,1,238,0,0
0.2,-19,10,241,0,0
0.3,-21,0,242,0,0
0.4,-17,9,239,0,0
0.5,-21,4,239,0,0
0.6,-22,19,240,0,0
0.7,-18,20,240,0,0
0.8,-25,8,244,0,0
0.9,-33,-22,248,0,0
1,-29,-88,245,0,0
1.1,-11,26,218,0,0
1.2,-21,38,244,0,0
1.3,-15,19,244,1,1
1.4,-18,20,250,1,1
1.5,-18,20,236,1,1
1.6,-28,18,236,1,1
1.7,-25,13,242,1,1
1.8,-26,37,236,1,1
1.9,-25,-30,229,1,1
2,-28,-19,233,1,1
2.1,-21,-30,231,4,3
2.2,-23,29,222,4,3
2.3,-6,30,245,4,3
2.4,-19,25,249,4,3
2.5,-15,41,242,4,3
2.6,-21,27,241,4,3
2.7,-10,55,245,4,3
2.8,-12,22,247,4,3
2.9,-40,-10,253,4,3
3,-32,-7,255,6,5
3.1,-26,6,228,6,5
3.2,-21,3,235,6,5
3.3,-16,2,230,6,5
3.4,-24,2,237,6,5
3.5,-28,-1,226,8,7
3.6,-27,3,239,8,7
3.7,-33,-3,247,8,7
3.8,-17,2,236,8,7
3.9,-31,7,220,8,7
4,-21,-111,239,8,7
4.1,-22,7,240,8,7
4.2,-24,3,241,8,7
4.3,-23,36,243,8,7
4.4,-16,48,238,8,7
4.5,-27,28,235,8,7
4.6,-14,21,216,9,8
4.7,-22,-25,265,9,8
4.8,-32,-29,240,9,8
4.9,-23,-57,234,9,8
5,-20,18,244,9,8
5.1,-5,179,291,9,8
5.2,-6,-29,236,9,8
5.3,-20,2,242,9,8
5.4,-18,-6,235,9,8
5.5,-27,7,245,9,8
5.6,-19,7,240,9,8
5.7,-20,4,241,9,8
5.8,-20,3,242,9,8
5.9,-22,2,242,9,8
6,-21,6,241,9,8
6.1,-19,3,241,9,8
6.2,-21,6,241,9,8
6.3,-16,8,239,9,8
6.4,-19,6,239,9,8
6.5,-17,7,239,9,8
6.6,-17,4,241,9,8
6.7,-16,6,239,9,8
6.8,-17,-10,219,9,8
6.9,-15,3,241,9,8
7,-14,5,242,9,8
7.1,-16,5,242,9,8
7.2,-18,6,241,9,8
7.3,-16,5,236,9,8
7.4,-17,5,241,9,8
7.5,-17,3,241,9,8
7.6,-17,-2,243,9,8
7.7,-22,-12,242,9,8
7.8,-25,-48,250,9,8
7.9,-17,-39,250,9,8
8,-52,36,237,11,10
8.1,-26,72,227,11,10
8.2,-29,85,238,11,10
8.3,-23,45,240,11,10
8.4,-12,17,233,11,10
8.5,-29,-34,240,11,10
8.6,-24,-9,240,11,10
8.7,-23,9,242,11,10
8.8,-22,13,241,11,10
8.9,-24,40,244,11,10
9,-23,81,253,11,10
9.1,-27,33,223,11,10
9.2,-20,23,207,12,10
9.3,-22,-60,276,12,10
9.4,-25,-15,246,12,10
9.5,-47,14,244,12,10
9.6,-24,33,241,12,10
9.7,-32,-7,242,12,10
9.8,-17,9,243,12,10
9.9,-27,0,239,12,10
10,-23,16,245,12,10
10.1,-22,2,241,12,10
10.2,-17,1,241,12,10
10.3,-24,4,235,12,10
10.4,-23,21,242,12,10
10.5,-25,12,237,12,10
10.6,-26,0,242,12,10
10.7,-23,14,239,12,10
10.8,-23,7,239,12,10
10.9,-15,9,241,12,10
11,-25,4,241,12,10
11.1,-25,7,239,12,10
11.2,-26,8,239,12,10
11.3,-21,5,243,12,10
11.4,-27,13,239,12,10
11.5,-16,13,247,12,10
11.6,-31,-1,228,12,10
11.7,-25,17,244,12,10
11.8,-29,-19,235,12,10
11.9,-38,43,257,12,10
12,-27,4,238,12,10
12.1,-26,16,241,12,10
12.2,-27,7,241,12,10
12.3,-23,9,241,12,10
12.4,-22,2,241,12,10
12.5,-27,4,246,12,10
12.6,-25,13,239,12,10
12.7,-25,1,245,12,10
12.8,-19,-10,240,12,10
12.9,-31,-47,239,12,10
13,-37,-38,237,12,10
13.1,-24,47,195,12,10
13.2,-14,78,240,12,10
13.3,-17,-9,229,12,10
13.4,-29,6,243,12,10
13.5,-23,-6,250,14,12
13.6,-25,50,243,14,12
13.7,-22,5,242,14,12
13.8,-25,-1,237,14,12
13.9,-25,25,240,14,12
14,-21,33,238,14,12
14.1,-5,71,240,14,12
14.2,-21,-35,207,14,12
14.3,-25,-91,239,14,12
14.4,-22,3,240,14,12
14.5,-18,4,238,14,12
14.6,-28,18,247,14,12
14.7,-26,3,243,14,12
14.8,-19,2,241,14,12
14.9,-18,1,239,14,12
15,-18,4,241,14,12
15.1,-17,3,241,14,12
15.2,-17,3,241,14,12
15.3,-18,5,243,14,12
15.4,-19,3,241,14,12
15.5,-20,4,239,14,12
15.6,-19,4,242,14,12
15.7,-19,2,241,14,12
15.8,-21,4,241,14,12
15.9,-21,4,240,14,12
16,-20,4,241,14,12
16.1,-19,3,241,14,12
16.2,-20,4,241,14,12
16.3,-21,4,241,14,12
16.4,-22,5,241,14,12
16.5,-24,6,241,14,12
16.6,-21,4,240,14,12
16.7,-22,5,243,14,12
16.8,-21,4,241,14,12
16.9,-21,3,243,14,12
17,-21,4,241,14,12
17.1,-20,4,241,14,12
17.2,-19,4,240,14,12
17.3,-19,1,241,14,12
17.4,-19,4,241,14,12
17.5,-21,5,241,14,12
17.6,-20,3,242,14,12
17.7,-21,3,241,14,12
17.8,-22,5,242,14,12
17.9,-21,4,240,14,12
18,-20,5,240,14,12
18.1,-20,3,241,14,12
18.2,-20,3,241,14,12
18.3,-21,4,240,14,12
18.4,-20,2,241,14,12
18.5,-21,3,241,14,12
18.6,-21,3,242,14,12
18.7,-21,4,240,14,12
18.8,-20,5,242,14,12
18.9,-17,7,243,14,12
19,-22,3,240,14,12
19.1,-21,1,239,14,12
19.2,-24,4,242,14,12
19.3,-24,4,240,14,12
19.4,-24,3,241,14,12
19.5,-25,2,241,14,12
19.6,-23,2,241,14,12
19.7,-24,4,240,14,12
19.8,-27,5,241,14,12
19.9,-25,3,240,14,12
20,-29,6,242,14,12
20.1,-27,-6,241,14,12
20.2,-29,0,242,14,12
20.3,-30,11,242,14,12
20.4,-29,11,242,14,12
20.5,-27,0,242,14,12
20.6,-29,1,243,14,12
20.7,-22,3,241,14,12
20.8,-19,2,240,14,12
20.9,-20,2,241,14,12
21,-21,2,241,14,12
21.1,-19,3,241,14,12
21.2,-19,2,240,14,12
21.3,-19,1,242,14,12
21.4,-20,1,240,14,12
21.5,-20,0,242,14,12
21.6,-20,2,242,14,12
21.7,-20,3,239,14,12
21.8,-21,1,240,14,12
21.9,-22,1,240,14,12
22,-21,4,236,14,12
22.1,-22,4,241,14,12
22.2,-21,-5,241,14,12
22.3,45,1,268,14,12
22.4,-17,2,242,14,12
22.5,-16,16,241,14,12
22.6,-19,-2,239,14,12
22.7,-23,-16,237,14,12
22.8,-26,-14,240,14,12
22.9,-20,6,237,14,12
23,-18,13,246,15,13
23.1,-19,2,238,15,13
23.2,-21,21,239,15,13
23.3,-28,12,245,15,13
23.4,-22,6,241,15,13
23.5,-24,9,241,15,13
23.6,-23,10,241,15,13
23.7,-22,2,243,15,13
23.8,-22,6,241,15,13
23.9,-21,10,242,15,13
24,-24,-1,241,15,13
24.1,-22,4,240,15,13
24.2,-20,8,243,15,13
24.3,-22,5,241,15,13
24.4,-21,4,241,15,13
24.5,-23,9,242,15,13
24.6,-24,4,241,15,13
24.7,-22,3,240,15,13
24.8,-22,0,237,15,13
24.9,-24,2,242,15,13
25,-22,5,235,15,13
25.1,-22,3,241,15,13
25.2,-22,3,240,15,13
25.3,-22,8,241,15,13
25.4,-21,2,241,15,13
25.5,-22,10,241,15,13
25.6,-22,9,245,15,13
25.7,-22,3,241,15,13
25.8,-22,7,241,15,13
25.9,-23,5,241,15,13
26,-24,7,242,15,13
26.1,-23,3,242,15,13
26.2,-21,4,241,15,13
26.3,-21,2,242,15,13
26.4,-22,11,240,15,13
26.5,-23,5,240,15,13
26.6,-23,8,242,15,13
26.7,-23,6,242,15,13
26.8,-22,4,242,15,13
26.9,-21,6,242,15,13
27,-23,7,241,15,13
27.1,-24,5,240,15,13
27.2,-22,4,242,15,13
27.3,-24,4,241,15,13
27.4,-22,4,243,15,13
27.5,-23,5,239,15,13
27.6,-21,7,240,15,13
27.7,-21,5,241,15,13
27.8,-22,3,241,15,13
27.9,-21,5,242,15,13
28,-22,9,241,15,13
28.1,-28,11,240,15,13
28.2,-29,-7,244,15,13
28.3,-27,-63,250,15,13
28.4,-18,-116,222,15,13
28.5,-15,3,258,16,14
28.6,-29,26,175,16,14
28.7,-16,15,198,17,15
28.8,-14,27,328,17,15
28.9,-2,16,213,17,15
29,-8,12,172,18,16
29.1,-9,26,261,18,16
29.2,-25,16,248,18,16
29.3,-40,8,223,19,17
29.4,-19,12,263,19,17
29.5,-25,16,218,19,17
29.6,-25,20,205,19,17
29.7,-20,11,219,20,17
29.8,-13,16,266,20,17
29.9,-23,19,239,20,17
30,-23,9,267,20,17
30.1,-20,13,247,20,17
30.2,-28,10,239,21,18
30.3,-21,18,229,21,18
30.4,-20,17,237,21,18
30.5,-24,19,232,21,18
30.6,-19,17,245,21,18
30.7,-22,14,241,21,18
30.8,-19,16,241,21,18
30.9,-21,9,240,21,18
31,-21,3,242,21,18
31.1,-21,10,241,21,18
31.2,-20,8,241,21,18
31.3,-56,30,150,21,18
31.4,-96,-23,174,21,18
31.5,-22,5,217,22,19
31.6,-22,4,211,22,19
31.7,-23,28,199,22,19
31.8,-4,19,204,23,20
31.9,2,511,298,23,20
32,-12,9,231,23,20
32.1,-25,1,227,23,20
32.2,-18,1,247,23,20
32.3,-18,1,243,23,20
32.4,-19,1,240,23,20
32.5,-19,1,241,23,20
32.6,-18,4,241,23,20
32.7,-18,8,241,23,20
32.8,-19,9,241,23,20
32.9,-19,9,241,23,20
33,-19,8,241,23,20
33.1,-18,8,242,23,20
33.2,-18,7,241,23,20
33.3,-18,8,242,23,20
33.4,-19,8,242,23,20
33.5,-18,8,241,23,20
33.6,-18,8,241,23,20
33.7,-18,8,241,23,20
33.8,-19,8,241,23,20
33.9,-18,9,241,23,20
34,-18,7,243,23,20
34.1,-18,8,242,23,20
34.2,-18,8,241,23,20
34.3,-18,9,241,23,20
34.4,-18,7,241,23,20
34.5,-18,8,242,23,20
34.6,-18,8,242,23,20
34.7,-20,8,242,23,20
34.8,-19,8,242,23,20
34.9,-21,15,239,23,20
35,-22,-1,241,23,20
35.1,-15,2,242,23,20
35.2,-23,31,249,23,20
35.3,-22,-31,243,23,20
35.4,-20,-15,241,23,20
35.5,-10,4,244,23,20
35.6,-12,-7,254,23,20
35.7,-10,-27,244,23,20
35.8,-15,50,233,23,20
35.9,1,7,237,23,20
36,-18,1,244,23,20
36.1,-16,0,239,23,20
36.2,-20,1,241,23,20
36.3,-18,4,241,23,20
36.4,-17,7,241,23,20
36.5,-18,8,241,23,20
36.6,26,55,216,23,20
36.7,-29,-44,225,23,20
36.8,-12,-24,246,23,20
36.9,-23,-9,245,23,20
37,-19,-1,240,23,20
37.1,-20,13,242,23,20
37.2,-11,3,236,23,20
37.3,-3,103,262,23,20
37.4,-3,15,235,23,20
37.5,4,9,248,23,20
37.6,16,6,241,23,20
37.7,32,-4,242,23,20
37.8,35,1,240,23,20
37.9,46,4,239,23,20
38,64,-3,227,23,20
38.1,69,1,239,23,20
38.2,79,-5,247,23,20
38.3,120,19,189,23,20
38.4,159,-6,28,23,20
38.5,263,41,-97,23,20
38.6,208,-26,-134,23,20
38.7,240,-39,-84,23,20
38.8,159,36,64,23,20
38.9,218,-7,23,23,20
39,251,-12,18,23,20
39.1,260,-32,29,23,20
39.2,253,-13,12,23,20
39.3,253,-16,9,23,20
39.4,250,-16,13,23,20
39.5,255,-16,8,23,20
39.6,253,-20,7,23,20
39.7,254,-22,0,23,20
39.8,254,-25,-1,23,20
39.9,254,-23,2,23,20
40,247,14,43,23,20
40.1,288,-39,-30,23,20
40.2,239,-18,-34,23,20
40.3,259,-26,-14,23,20
40.4,246,-32,-51,23,20
40.5,248,-22,-64,23,20
40.6,226,-12,-103,23,20
40.7,244,8,-178,23,20
40.8,210,2,-149,23,20
40.9,214,-8,-177,23,20
41,201,-11,-109,23,20
41.1,228,-31,-132,23,20
41.2,243,-34,-130,23,20
41.3,237,-33,-125,23,20
41.4,217,-38,-136,23,20
41.5,238,-79,-167,23,20
41.6,273,-63,-127,23,20
41.7,212,-7,-139,23,20
41.8,186,4,-130,23,20
41.9,199,-59,-120,23,20
42,223,-96,-122,23,20
42.1,206,-80,-141,23,20
42.2,197,-80,-127,23,20
42.3,170,-72,-134,23,20
42.4,132,-70,-137,23,20
42.5,171,-70,-83,23,20
42.6,179,-103,-108,23,20
42.7,129,-56,-118,23,20
42.8,181,-57,-113,23,20
42.9,195,-80,-130,23,20
43,162,-119,-109,23,20
43.1,172,-162,-106,23,20
43.2,150,-164,-132,23,20
43.3,129,-174,-150,23,20
43.4,109,-202,-146,23,20
43.5,81,-201,-138,23,20
43.6,73,-191,-106,23,20
43.7,78,-193,-96,23,20
43.8,103,-216,-46,23,20
43.9,99,-247,-6,23,20
44,83,-310,-4,23,20
44.1,30,-190,-8,23,20
44.2,30,-219,-10,23,20
44.3,69,-291,-1,23,20
44.4,69,-246,-41,23,20
44.5,69,-253,-27,23,20
44.6,40,-240,-30,23,20
44.7,9,-246,-40,23,20
44.8,-3,-235,-27,23,20
44.9,26,-246,-95,23,20
45,29,-222,-144,23,20
45.1,78,-228,-95,23,20
45.2,41,-233,-89,23,20
45.3,41,-219,-93,23,20
45.4,106,-222,-69,23,20
45.5,108,-201,-50,23,20
45.6,125,-262,-30,23,20
45.7,92,-273,28,23,20
45.8,82,-223,24,23,20
45.9,89,-228,9,23,20
46,107,-235,29,23,20
46.1,117,-200,17,23,20
46.2,108,-207,31,23,20
46.3,120,-206,32,23,20
46.4,131,-217,55,23,20
46.5,108,-195,31,23,20
46.6,73,-355,48,23,20
46.7,12,-256,-59,23,20
46.8,57,-253,-5,23,20
46.9,36,-244,-41,23,20
47,65,-260,-20,23,20
47.1,31,-248,-48,23,20
47.2,20,-257,-67,23,20
47.3,16,-230,-62,23,20
47.4,40,-234,-66,23,20
47.5,41,-243,-94,23,20
47.6,2,-229,-103,23,20
47.7,-21,-234,-111,23,20
47.8,30,-234,-57,23,20
47.9,-29,-289,-82,23,20
48,-27,-279,-98,23,20
48.1,1,-237,-90,23,20
48.2,25,-205,-98,23,20
48.3,-31,-200,-135,23,20
48.4,97,-125,-146,23,20
48.5,139,-163,-92,23,20
48.6,110,-155,-125,23,20
48.7,109,-170,-130,23,20
48.8,87,-185,-148,23,20
48.9,107,-176,-125,23,20
49,91,-201,-80,23,20
49.1,234,-306,-197,23,20
49.2,98,-197,-89,23,20
49.3,106,-215,-64,23,20
49.4,72,-251,-67,23,20
49.5,52,-260,-60,23,20
49.6,50,-251,-46,23,20
49.7,28,-259,-39,23,20
49.8,70,-272,-71,23,20
49.9,54,-250,-32,23,20
50,47,-242,-38,23,20
50.1,44,-252,-39,23,20
50.2,37,-256,-46,23,20
50.3,35,-250,-42,23,20
50.4,43,-255,-34,23,20
50.5,48,-255,-37,23,20
50.6,18,-257,-67,23,20
50.7,51,-250,-50,23,20
50.8,54,-249,-54,23,20
50.9,67,-249,-53,23,20
51,83,-255,-56,23,20
51.1,92,-203,-72,23,20
51.2,61,-205,-113,23,20
51.3,94,-256,-94,23,20
51.4,91,-212,-100,23,20
51.5,126,-220,-70,23,20
51.6,119,-211,-89,23,20
51.7,114,-197,-104,23,20
51.8,103,-192,-120,23,20
51.9,102,-196,-122,23,20
52,114,-202,-105,23,20
52.1,81,-203,-147,23,20
52.2,97,-209,-132,23,20
52.3,105,-198,-123,23,20
52.4,91,-212,-118,23,20
52.5,94,-192,-130,23,20
52.6,66,-179,-91,23,20
52.7,48,-233,-176,23,20
52.8,21,-258,-62,23,20
52.9,-7,-235,-180,23,20
53,66,-229,-53,23,20
53.1,10,-201,-39,23,20
53.2,100,-345,-85,23,20
53.3,48,-264,-63,23,20
53.4,36,-239,-39,23,20
53.5,67,-257,-45,23,20
53.6,30,-256,-35,23,20
53.7,25,-260,-33,23,20
53.8,31,-257,-20,23,20
53.9,5,-258,-20,23,20
54,5,-253,-15,23,20
54.1,20,-257,-18,23,20
54.2,-3,-250,-15,23,20
54.3,1,-254,-17,23,20
54.4,14,-259,-20,23,20
54.5,0,-222,-13,23,20
54.6,11,-257,-14,23,20
54.7,2,-256,0,23,20
54.8,17,-261,-4,23,20
54.9,-17,-246,18,23,20
55,-4,-255,11,23,20
55.1,8,-255,12,23,20
55.2,-12,-251,10,23,20
55.3,0,-253,-5,23,20
55.4,-24,-250,12,23,20
55.5,-18,-252,9,23,20
55.6,3,-233,11,23,20
55.7,40,-253,0,23,20
55.8,-16,-257,30,23,20
55.9,-19,-257,37,23,20
56,-13,-266,10,23,20
56.1,-28,-272,-6,23,20
56.2,30,-285,-59,23,20
