time,ACx,ACy,ACz,encoder1,encoder2
0.1,-29,-43,240,1054,880
0.2,-18,-110,208,1054,880
0.3,68,83,270,1054,880
0.4,-56,-44,175,1054,880
0.5,-21,47,266,1054,880
0.6,64,-161,142,1054,880
0.7,10,34,232,1054,880
0.8,-17,105,252,1055,881
0.9,41,25,253,1055,881
1,-3,74,245,1056,882
1.1,26,96,253,1056,882
1.2,8,1,245,1056,882
1.3,-24,-29,231,1056,882
1.4,-38,-51,240,1057,883
1.5,12,110,291,1057,883
1.6,25,69,205,1058,884
1.7,-20,0,218,1058,884
1.8,7,-2,241,1058,884
1.9,12,46,259,1058,884
2,27,38,225,1059,885
2.1,8,-2,250,1059,885
2.2,-13,-61,227,1059,885
2.3,4,-6,259,1059,885
2.4,-16,-27,263,1060,886
2.5,38,-55,206,1060,886
2.6,-34,85,212,1060,886
2.7,0,-37,261,1061,887
2.8,-28,56,238,1061,887
2.9,12,74,233,1061,887
3,82,111,260,1061,887
3.1,-41,10,229,1061,887
3.2,-46,-39,242,1061,887
3.3,12,-34,230,1061,887
3.4,-14,-51,220,1063,889
3.5,-12,-38,175,1063,889
3.6,-27,-97,131,1063,889
3.7,-19,-8,262,1064,890
3.8,67,274,326,1064,890
3.9,1,-65,224,1064,890
4,-22,24,208,1065,891
4.1,-7,22,245,1065,891
4.2,-3,-20,233,1065,891
4.3,-10,66,286,1065,891
4.4,7,4,254,1065,891
4.5,56,27,236,1066,892
4.6,-26,-43,232,1066,892
4.7,-1,-50,288,1066,892
4.8,-29,9,306,1067,893
4.9,-70,-167,78,1067,893
5,51,71,168,1068,894
5.1,-70,28,121,1069,895
5.2,-25,-146,237,1069,895
5.3,87,-58,98,1072,898
5.4,47,11,211,1072,898
5.5,32,-8,317,1074,900
5.6,91,53,379,1076,902
5.7,44,8,251,1076,902
5.8,-66,143,234,1077,903
5.9,-100,-62,73,1077,903
6,64,94,369,1078,904
6.1,25,-39,169,1078,904
6.2,1,52,244,1079,905
6.3,90,108,359,1079,905
6.4,32,-31,170,1080,906
6.5,-10,50,194,1081,907
6.6,146,106,264,1081,907
6.7,23,8,262,1082,908
6.8,-31,-25,177,1082,908
6.9,-7,-31,230,1082,908
7,-43,108,237,1082,908
7.1,8,22,249,1084,910
7.2,-8,18,240,1084,910
7.3,-8,8,243,1084,910
7.4,-7,4,243,1084,910
7.5,-28,7,246,1084,910
7.6,-11,6,252,1084,910
7.7,2,-10,266,1084,910
7.8,75,-4,202,1084,910
7.9,111,-3,178,1084,910
8,58,-13,230,1084,910
8.1,32,-10,233,1084,910
8.2,-4,-6,253,1084,910
8.3,1,8,233,1084,910
8.4,-8,-25,239,1084,910
8.5,-12,-22,244,1084,910
8.6,0,-30,238,1084,910
8.7,-6,27,252,1084,910
8.8,-10,-51,218,1084,910
8.9,-20,25,242,1084,910
9,-1,81,240,1084,910
9.1,-16,-5,233,1084,910
9.2,-27,38,251,1084,910
9.3,-31,23,255,1084,910
9.4,-23,-25,231,1084,910
9.5,-34,-120,213,1084,910
9.6,-32,35,243,1084,910
9.7,-27,17,244,1084,910
9.8,-65,-40,238,1084,910
9.9,-56,-30,217,1084,910
10,43,41,257,1084,910
10.1,-2,59,236,1084,910
10.2,-21,-22,237,1084,910
10.3,-22,24,244,1084,910
10.4,-16,7,240,1084,910
10.5,-13,10,228,1084,910
10.6,-19,21,234,1084,910
10.7,-13,-6,236,1084,910
10.8,-23,-23,240,1084,910
10.9,-27,-48,240,1084,910
11,-24,-26,242,1084,910
11.1,-18,-14,241,1084,910
11.2,-17,29,242,1084,910
11.3,-20,47,241,1084,910
11.4,-18,60,242,1084,910
11.5,-19,34,242,1084,910
11.6,-26,23,232,1084,910
11.7,-15,-163,228,1084,910
11.8,-22,0,238,1084,910
11.9,-8,35,243,1084,910
12,-20,-7,244,1084,910
12.1,-18,7,241,1084,910
12.2,-39,-62,258,1084,910
12.3,-16,-3,234,1084,910
12.4,-11,3,247,1084,910
12.5,-23,35,243,1084,910
12.6,-18,24,244,1084,910
12.7,-23,-61,234,1084,910
12.8,-26,14,242,1084,910
12.9,-24,-1,240,1084,910
13,-18,-2,240,1084,910
13.1,-23,41,242,1084,910
13.2,-18,-8,240,1084,910
13.3,-22,0,240,1084,910
13.4,-19,3,240,1084,910
13.5,-22,1,240,1084,910
13.6,-20,-9,240,1084,910
13.7,-20,-1,241,1084,910
13.8,-18,-25,238,1084,910
13.9,-22,-31,257,1084,910
14,-15,32,250,1084,910
14.1,-5,83,245,1084,910
14.2,-10,66,240,1084,910
14.3,-23,12,250,1084,910
14.4,-17,-11,256,1084,910
14.5,-13,-19,232,1084,910
14.6,-20,-41,232,1084,910
14.7,-22,16,242,1084,910
14.8,-19,0,240,1084,910
14.9,-21,3,241,1084,910
15,-20,3,240,1084,910
15.1,-18,2,240,1084,910
15.2,-18,0,244,1084,910
15.3,-19,-4,234,1084,910
15.4,-2,15,251,1084,910
15.5,-28,6,245,1084,910
15.6,-17,6,240,1084,910
15.7,-19,4,238,1084,910
15.8,-18,5,241,1084,910
15.9,-20,4,241,1084,910
16,-31,3,250,1084,910
16.1,-21,2,244,1084,910
16.2,-19,-1,240,1084,910
16.3,-20,3,241,1084,910
16.4,-19,-3,241,1084,910
16.5,-22,-7,239,1084,910
16.6,-15,0,236,1084,910
16.7,-17,7,240,1084,910
16.8,-19,-17,234,1084,910
16.9,-23,-16,239,1084,910
17,-33,27,266,1084,910
17.1,-18,15,242,1084,910
17.2,-17,-3,242,1084,910
17.3,-14,58,241,1084,910
17.4,-27,38,241,1084,910
17.5,-4,52,231,1084,910
17.6,-16,-7,233,1084,910
17.7,-23,-35,249,1084,910
17.8,-14,-29,246,1084,910
17.9,-19,-12,245,1084,910
18,-80,11,92,1084,910
18.1,34,14,188,1084,910
18.2,-37,23,246,1084,910
18.3,-24,2,253,1084,910
18.4,-65,35,232,1084,910
18.5,-26,-10,252,1084,910
18.6,-12,-24,225,1087,913
18.7,41,-21,223,1087,913
18.8,-14,6,245,1087,913
18.9,-21,3,239,1087,913
19,-17,-15,236,1087,913
19.1,-12,3,241,1087,913
19.2,-13,3,239,1087,913
19.3,-10,5,242,1087,913
19.4,-10,1,240,1087,913
19.5,-13,3,243,1087,913
19.6,-10,0,242,1087,913
19.7,-4,19,242,1087,913
19.8,-8,0,240,1087,913
19.9,-7,1,241,1087,913
20,-6,1,241,1087,913
20.1,-7,2,241,1087,913
20.2,-5,1,239,1087,913
20.3,-5,1,240,1087,913
20.4,-63,8,240,1087,913
20.5,-3,1,239,1087,913
20.6,-3,1,241,1087,913
20.7,-2,1,240,1087,913
20.8,-1,1,241,1087,913
20.9,-1,0,241,1087,913
21,-2,0,239,1087,913
21.1,-5,0,241,1087,913
21.2,-7,-19,237,1087,913
