time,ACx,ACy,ACz,encoder1,encoder2
0.1,-16,-12,245,0,29
0.2,-36,-29,241,0,29
0.3,-35,-14,245,0,29
0.4,8,14,220,0,29
0.5,-13,44,258,0,29
0.6,-22,40,246,0,29
0.7,-38,-3,248,0,29
0.8,-13,34,249,0,29
0.9,-17,71,243,0,29
1,-29,38,234,0,29
1.1,-20,-46,239,0,29
1.2,-9,3,246,0,29
1.3,-10,0,244,0,29
1.4,-7,-7,244,0,29
1.5,-17,20,238,0,29
1.6,-43,-32,342,0,29
1.7,-10,-36,237,0,29
1.8,-19,-27,241,0,29
1.9,-18,-39,231,0,29
2,-29,-11,228,1,30
2.1,-32,-11,254,1,30
2.2,-29,-9,230,1,30
2.3,-22,-23,223,2,31
2.4,1,-10,214,2,31
2.5,-8,73,230,2,31
2.6,56,58,214,2,31
2.7,1,40,238,3,32
2.8,-49,-46,232,3,32
2.9,-6,-17,247,3,32
3,-52,-112,188,3,32
3.1,3,1,219,3,32
3.2,-12,19,255,4,33
3.3,-14,45,239,4,33
3.4,13,19,225,4,33
3.5,-3,13,244,7,36
3.6,-38,10,240,7,36
3.7,-7,-28,240,7,36
3.8,-14,-72,250,7,36
3.9,16,-95,271,7,36
4,-4,15,214,7,36
4.1,-55,164,247,8,37
4.2,12,6,265,8,37
4.3,-27,-24,249,8,37
4.4,-38,-139,236,8,37
4.5,-21,10,293,8,37
4.6,6,84,218,9,38
4.7,-13,102,244,9,38
4.8,-40,-64,238,9,38
4.9,-14,47,264,10,39
5,29,122,271,10,39
5.1,-12,20,239,10,39
5.2,-37,-99,236,10,39
5.3,-4,-123,233,10,39
5.4,61,-17,263,11,40
5.5,8,131,233,11,40
5.6,-4,89,241,13,42
5.7,-23,36,234,13,42
5.8,-13,3,245,13,42
5.9,-37,-33,241,13,42
6,11,107,257,13,42
6.1,-18,-46,239,13,42
6.2,-17,-4,242,13,42
6.3,32,-110,254,13,42
6.4,-32,35,214,13,42
6.5,-31,-6,255,13,42
6.6,-22,-38,221,13,42
6.7,-1,4,231,13,42
6.8,2,12,245,13,42
6.9,-13,-10,246,13,42
7,-16,-8,239,13,42
7.1,-29,-107,258,13,42
7.2,-24,-4,254,13,42
7.3,-9,144,246,13,42
7.4,-28,82,240,13,42
7.5,-4,-33,243,13,42
7.6,10,-51,234,13,42
7.7,-23,-2,239,13,42
7.8,-111,-47,245,13,42
7.9,-10,-45,247,13,42
8,-19,-9,235,13,42
8.1,15,43,250,13,42
8.2,-36,9,234,15,44
8.3,-3,29,247,15,44
8.4,-27,25,237,15,44
8.5,-19,-18,237,15,44
8.6,-18,-3,241,15,44
8.7,-11,59,242,15,44
8.8,-18,8,244,15,44
8.9,-12,1,242,15,44
9,-25,-50,239,15,44
9.1,-5,-19,245,15,44
9.2,-21,-17,236,15,44
9.3,-9,38,239,18,47
9.4,-16,56,236,18,47
9.5,-12,2,248,18,47
9.6,-13,-5,241,18,47
9.7,-17,-2,243,18,47
9.8,-11,2,243,18,47
9.9,-10,-7,240,18,47
10,-10,10,241,18,47
10.1,-14,-10,241,18,47
10.2,-10,16,236,18,47
10.3,-15,0,239,18,47
10.4,-6,4,264,18,47
10.5,-17,18,248,18,47
10.6,-17,-4,237,18,47
10.7,-15,14,245,18,47
10.8,-7,14,242,18,47
10.9,-12,2,244,18,47
11,-9,-1,241,18,47
11.1,-18,-1,243,18,47
