features,95,100,106,112,118,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,89,94,102,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,108,120,121,124
fx_1,21.7314,11.0746,5.83475,3.77731,11.6656,7.33954,9.20324,9.59533,32.9139,22.0961,1.30949,1.09448,8.81519,32.3977,22.0736,19.1478,25.5791,11.4624,1.29394,4.67437,5.2226,20.7301,5.55032,15.6747,23.3076,3.14801,4.75184,5.94589,7.00216,2.18971,11.2601,1.2248,14.432,0.684779,1.8489,0.996205,2.25241,3.05574,3.60751,1.46685,3.70202,5.96539,31.1321,12.7858,13.3749
fx_2,22.2157,12.0428,6.92083,4.01715,11.8899,8.93436,10.5097,10.2579,41.1265,30.1177,1.31094,1.1029,10.3873,33.9993,30.0969,35.6195,31.9226,20.3063,1.29812,4.67797,5.54106,21.5709,8.76268,17.1653,23.4939,3.20463,4.77479,6.52916,7.10446,2.20964,16.6804,1.26123,15.9413,0.73458,1.97395,1.18599,2.29756,3.06341,3.70948,1.52916,3.71737,6.01152,35.0069,15.9084,13.6619
fx_3,26.1857,20.5784,6.99334,4.04554,14.8526,9.33304,10.9004,11.4995,41.5277,31.2636,1.34736,1.12334,12.9137,39.3506,31.0937,40.7648,51.6597,24.0684,1.30438,5.36822,5.76868,25.4522,11.9777,21.9032,25.2618,3.30653,4.79374,6.55651,7.19562,2.69247,29.3837,1.28559,15.9459,0.742326,2.06752,1.79029,2.42822,3.22833,3.79608,1.53838,3.89181,7.24959,43.2367,16.2193,15.0605
fx_4,27.6114,21.523,7.79753,4.28123,15.8208,10.1096,11.2167,12.1929,51.246,35.6337,1.36235,1.16939,13.9267,48.4535,35.6834,41.0208,70.8966,24.9395,1.39694,5.39549,5.94297,27.0823,12.4688,22.6188,27.0772,3.59207,4.81304,6.62308,7.26588,3.12757,36.4371,1.34075,18.3405,0.758967,2.25613,1.95341,2.6738,3.48393,4.02839,1.57412,4.37911,11.5487,45.8839,21.8629,22.2101
fx_5,29.3519,44.0273,10.8779,4.47616,18.166,15.1139,11.2307,12.2648,60.2338,39.1565,1.5481,1.21761,15.4883,59.2569,39.0506,132.117,89.5684,25.2105,1.51016,5.77192,7.55876,29.4452,12.5311,30.8681,43.6194,3.64947,4.93179,7.3269,7.36558,3.36186,45.3261,1.49186,19.3102,0.765109,2.32974,2.35215,2.68186,4.44913,4.05989,1.59796,4.73538,12.2359,61.8194,38.8636,39.5785
fy_1,15.5039,14.7232,15.6942,15.7667,16.1652,6.33439,17.4319,4.15652,6.70088,6.71834,2.52353,4.38303,3.71372,13.6632,6.70025,20.8128,12.1629,1.90481,2.389,1.47156,5.88384,15.3445,3.87212,15.3643,15.7425,14.8299,4.55577,5.70879,2.05721,3.04976,6.324,2.41124,1.89351,2.43655,5.99015,2.2922,2.38704,4.13029,2.62979,7.15692,3.90046,15.7183,15.8155,16.1652,14.9381
fy_2,15.9264,15.1243,16.1218,16.1963,16.6057,7.27284,17.9124,5.3824,7.08314,7.16805,3.02059,4.50524,3.76207,15.2053,7.16993,22.9412,21.9761,1.95529,2.43075,1.47929,5.95086,15.5133,3.87464,15.7829,16.1714,15.2339,4.6596,5.72517,2.06929,3.08011,6.33189,2.42451,1.99643,2.59425,6.00402,2.29279,2.5187,4.39283,2.65235,7.17406,4.15244,16.1466,16.2464,16.6057,15.3451
fy_3,17.451,16.5722,17.6651,17.7468,18.1953,7.46889,18.0177,5.39719,7.59679,7.38754,3.06502,4.63988,4.04143,18.1202,7.41315,26.0073,28.7922,2.10472,2.61058,1.47946,6.31929,29.2003,4.11729,17.2938,17.7195,16.6923,5.11975,6.63664,2.26369,3.21729,6.39068,2.47525,2.01024,2.67275,6.76837,2.41102,2.75879,4.51437,2.69235,7.36985,4.22254,17.6923,17.8016,18.1953,16.8141
fy_4,20.2149,19.1968,20.4629,20.5575,21.0771,12.2811,19.6495,10.7468,9.11977,7.8907,3.35375,4.69248,4.05845,24.9132,7.85864,29.8713,30.1545,2.14638,2.65019,1.50345,6.39563,31.8796,4.17216,20.0327,20.5259,19.336,5.2223,7.10839,2.49246,3.21796,6.59305,2.52586,2.74994,2.69293,7.95844,2.514,2.7977,4.57275,2.77532,7.77507,4.39728,20.4943,20.621,21.0771,19.4771
fy_5,29.2811,27.8065,29.6404,29.7774,30.5301,22.1451,24.0182,23.3316,9.32237,10.0917,3.61717,4.7055,4.09979,28.454,10.1232,32.0506,33.5254,2.68255,2.65978,1.54901,6.97002,39.9373,4.18788,29.0173,29.7316,28.008,5.26273,7.90542,2.67617,5.38162,6.66817,2.74489,2.86421,2.70455,7.99751,2.62105,2.87858,4.62863,2.90629,7.90116,4.61024,29.6859,29.8694,30.5301,28.2125
