time,ACx,ACy,ACz,encoder1,encoder2
0.1,-32,-45,234,0,1
0.2,-37,19,222,1,2
0.3,-22,67,251,1,2
0.4,-18,59,235,1,2
0.5,-18,2,235,1,2
0.6,-23,-23,252,1,2
0.7,-25,-11,233,1,2
0.8,-1,11,248,2,3
0.9,-54,-10,235,2,3
1,-8,-65,236,2,3
1.1,-30,20,227,2,3
1.2,-5,-29,248,2,3
1.3,-77,34,281,3,3
1.4,-26,103,231,3,3
1.5,-34,26,257,3,3
1.6,-29,6,233,3,3
1.7,-28,-52,191,3,3
1.8,-28,6,248,4,4
1.9,-23,1,240,4,4
2,-20,3,242,4,4
2.1,-16,-1,240,4,4
2.2,-19,1,241,4,4
2.3,-19,1,242,4,4
2.4,-19,1,240,4,4
2.5,-16,2,259,4,4
2.6,2,7,398,4,4
2.7,-6,-46,204,4,4
2.8,-20,-41,227,4,4
2.9,-13,-40,224,4,4
3,-14,-68,216,4,4
3.1,-20,11,227,4,4
3.2,3,-70,368,4,4
3.3,-19,11,239,6,5
3.4,-21,23,242,6,5
3.5,1,68,236,6,5
3.6,-5,28,260,6,5
3.7,11,3,251,6,5
3.8,-99,-2,253,6,5
3.9,-35,23,199,7,6
4,2,-14,234,7,6
4.1,-24,-20,249,7,6
4.2,-38,-21,212,9,7
4.3,-13,-2,232,9,7
4.4,-71,22,259,9,7
4.5,-35,-53,237,9,7
4.6,-26,10,241,9,7
4.7,-22,4,240,9,7
4.8,-25,-1,240,9,7
4.9,-22,3,242,9,7
5,-26,2,242,9,7
5.1,-24,1,241,9,7
5.2,-24,0,241,9,7
5.3,-23,-1,241,9,7
5.4,-26,-6,240,9,7
5.5,-21,-11,237,9,7
5.6,-33,-35,228,9,7
5.7,-43,-41,228,9,7
5.8,-6,53,282,9,7
5.9,-36,59,256,9,7
6,-38,-23,261,9,7
6.1,-8,-15,253,9,7
6.2,-26,9,208,9,7
6.3,-28,6,231,9,7
6.4,-19,-24,236,10,8
6.5,-36,-24,244,10,8
6.6,-28,35,215,10,8
6.7,-46,-23,245,10,8
6.8,-141,162,269,10,8
6.9,-132,-37,175,13,10
7,-21,58,218,13,10
7.1,-16,33,243,13,10
7.2,-22,9,240,13,10
7.3,-22,15,241,13,10
7.4,-10,61,234,13,10
7.5,-102,36,219,13,10
7.6,23,33,267,13,10
7.7,3,19,223,13,10
7.8,56,-4,289,15,11
7.9,14,59,273,15,11
8,-66,-49,371,15,11
8.1,-15,63,440,17,12
8.2,-29,14,178,17,12
8.3,-16,-64,480,17,12
8.4,-1,46,511,17,12
8.5,-26,-108,217,20,14
8.6,21,5,245,20,14
8.7,-12,-6,239,20,14
8.8,-17,-2,243,20,14
8.9,-14,1,240,20,14
9,-16,-2,240,20,14
9.1,-17,-16,238,20,14
9.2,-17,-40,230,20,14
9.3,14,-22,199,20,14
9.4,-30,-55,206,20,14
9.5,-18,-49,194,20,14
9.6,-61,-59,217,20,14
9.7,-33,-39,270,20,14
9.8,20,121,368,20,14
9.9,-1,-65,166,20,14
10,-40,-44,219,20,14
