time,ACx,ACy,ACz,encoder1,encoder2
0.1,-19,3,241,0,1
0.2,-19,2,241,0,1
0.3,-18,3,242,0,1
0.4,-19,3,242,0,1
0.5,-19,3,241,0,1
0.6,-20,4,240,0,1
0.7,-21,-5,216,0,1
0.8,-15,1,238,0,1
0.9,-23,-4,239,0,1
1,-23,-14,240,0,1
1.1,-18,-19,237,0,1
1.2,-22,-16,242,0,1
1.3,-29,-3,245,0,1
1.4,-30,8,231,1,2
1.5,-16,58,240,1,2
1.6,-15,53,241,1,2
1.7,-20,51,241,1,2
1.8,-15,28,235,1,2
1.9,-25,28,216,1,2
2,-15,3,246,2,3
2.1,-12,-12,223,2,3
2.2,-34,-44,217,2,3
2.3,-23,-60,241,2,3
2.4,-24,-30,240,2,3
2.5,-21,-38,232,2,3
2.6,-22,-23,237,2,3
2.7,-13,0,256,2,3
2.8,4,0,247,4,5
2.9,-26,27,228,4,5
3,-28,31,247,4,5
3.1,-22,20,240,4,5
3.2,-20,43,243,4,5
3.3,-21,29,243,4,5
3.4,-21,5,242,4,5
3.5,-22,1,242,4,5
3.6,-20,11,242,4,5
3.7,-23,-8,239,4,5
3.8,-20,0,241,4,5
3.9,-18,3,241,4,5
4,-18,3,239,4,5
4.1,-20,-1,240,4,5
4.2,-22,12,242,4,5
4.3,-16,5,242,4,5
4.4,-22,11,240,4,5
4.5,-17,3,237,4,5
4.6,-25,15,242,4,5
4.7,-19,2,243,4,5
4.8,-20,-8,243,4,5
4.9,-20,5,242,4,5
5,-18,1,241,4,5
5.1,-19,1,240,4,5
5.2,-22,5,242,4,5
5.3,-17,2,243,4,5
5.4,-18,6,239,4,5
5.5,-19,-5,240,4,5
5.6,-22,15,241,4,5
5.7,-17,-6,237,4,5
5.8,-22,14,243,4,5
5.9,-18,3,243,4,5
6,-21,5,241,4,5
6.1,-23,5,239,4,5
6.2,-11,17,244,4,5
6.3,-23,-11,240,4,5
6.4,-20,10,240,4,5
6.5,-19,9,242,4,5
6.6,-20,1,242,4,5
6.7,-17,5,241,4,5
6.8,-27,1,257,4,5
6.9,-27,-1,238,4,5
7,-19,3,241,4,5
7.1,-19,6,243,4,5
7.2,-23,1,242,4,5
7.3,-22,3,242,4,5
7.4,-20,1,242,4,5
7.5,-20,0,242,4,5
7.6,-30,-1,207,4,5
7.7,-22,4,241,4,5
7.8,-20,4,242,4,5
7.9,-20,2,240,4,5
8,-20,1,241,4,5
8.1,-20,4,242,4,5
8.2,-22,7,239,4,5
8.3,-19,5,241,4,5
8.4,-21,1,239,4,5
8.5,-20,8,240,4,5
8.6,-20,-12,249,4,5
8.7,-20,3,242,4,5
8.8,-22,7,240,4,5
8.9,-21,2,241,4,5
9,-11,0,244,4,5
9.1,-18,15,244,4,5
9.2,-20,-7,238,4,5
9.3,-5,-12,255,4,5
9.4,-23,3,239,4,5
9.5,-18,1,242,4,5
9.6,-16,16,240,4,5
9.7,-22,-7,240,4,5
9.8,-20,-3,242,4,5
9.9,-16,21,244,4,5
10,-19,-1,239,4,5
10.1,-20,0,243,4,5
10.2,-20,4,240,4,5
10.3,-19,3,240,4,5
10.4,-18,1,238,4,5
10.5,-20,0,241,4,5
10.6,-19,16,241,4,5
10.7,-15,-5,242,4,5
10.8,-24,10,241,4,5
10.9,-17,0,241,4,5
11,-25,13,243,4,5
11.1,14,41,237,4,5
11.2,-22,5,232,4,5
11.3,-6,-1,244,4,5
11.4,-37,-12,246,4,5
11.5,-16,-29,239,4,5
11.6,-27,-36,251,4,5
11.7,-17,-28,238,4,5
11.8,-28,-9,265,5,7
11.9,-6,-14,258,5,7
12,-15,-8,244,5,7
12.1,-23,24,237,6,8
12.2,-25,80,248,6,8
12.3,-6,89,248,6,8
12.4,-22,44,242,6,8
12.5,-18,34,235,6,8
12.6,-15,11,245,6,8
12.7,-3,9,249,7,9
12.8,-21,5,228,7,9
12.9,-5,-13,241,7,9
13,-15,-34,254,7,9
13.1,-11,-58,234,7,9
13.2,-25,-47,242,7,9
13.3,-27,-40,247,10,12
13.4,-14,-49,239,10,12
13.5,-21,-9,255,10,12
13.6,-9,35,247,10,12
13.7,-17,129,241,11,13
13.8,-21,30,244,11,13
13.9,-17,9,243,11,13
14,-15,-1,246,12,15
14.1,-21,-3,242,12,15
14.2,-20,3,239,12,15
14.3,-31,-2,238,12,15
14.4,-16,-31,236,12,15
14.5,-48,23,229,12,15
14.6,-17,18,245,12,15
14.7,-19,12,244,12,15
14.8,-25,12,240,12,15
14.9,-22,11,242,12,15
15,-21,29,241,12,15
15.1,-23,33,240,12,15
15.2,-23,15,246,12,15
15.3,-19,0,243,12,15
15.4,-20,7,240,12,15
15.5,-17,-27,241,12,15
15.6,-20,-20,239,12,15
15.7,-19,9,242,12,15
15.8,-15,13,240,12,15
15.9,-16,-7,240,12,15
16,-19,-2,240,12,15
16.1,-19,10,240,12,15
16.2,-20,-2,239,12,15
16.3,-22,-25,242,12,15
16.4,-18,-1,239,12,15
16.5,-21,3,238,12,15
16.6,-28,-51,235,12,15
16.7,-34,-29,262,12,15
16.8,-21,-37,208,12,15
16.9,-1,-1,264,15,18
17,-14,67,203,15,18
17.1,-47,128,227,15,18
17.2,-29,96,249,15,18
17.3,-31,65,215,15,18
17.4,-42,33,230,15,18
17.5,-20,-15,221,16,19
17.6,-47,-25,209,16,19
17.7,-31,-78,237,16,19
17.8,-26,-102,238,16,19
17.9,-27,-43,239,16,19
18,-27,-36,237,16,19
18.1,-23,-20,235,16,19
18.2,-38,2,237,16,19
18.3,-48,1,217,17,20
18.4,-43,66,243,17,20
18.5,-23,88,246,17,20
18.6,-30,37,245,17,20
18.7,-32,37,239,17,20
18.8,-28,33,233,17,20
18.9,-39,22,242,17,20
19,-19,-33,264,21,25
19.1,-19,-35,246,21,25
19.2,-26,-58,238,21,25
19.3,-11,-34,242,21,25
19.4,-18,-39,224,21,25
19.5,-38,-2,239,21,25
19.6,-22,8,231,24,28
19.7,-16,27,240,24,28
19.8,-47,59,240,24,28
19.9,-39,68,243,24,28
20,-34,34,242,24,28
20.1,-34,19,238,24,28
20.2,-26,-3,228,24,28
20.3,-32,3,239,25,29
20.4,-30,5,218,25,29
20.5,-25,-8,213,25,29
20.6,-30,-18,237,25,29
20.7,-44,-9,231,25,29
20.8,-29,-26,241,25,29
20.9,-26,0,242,25,29
21,-13,0,241,25,29
21.1,-23,-15,239,25,29
21.2,-34,-20,238,25,29
21.3,-25,-16,243,25,29
21.4,-33,-14,236,25,29
21.5,-29,-21,218,25,29
21.6,-30,-23,232,25,29
21.7,-46,-3,262,25,29
21.8,-45,10,219,25,29
